graph_encoder,train_seed,episode,rollout_seed,step,relative_step,node_failure_active,tracking_rate,comm_connectivity,chain_closed,attack_window_rate,mean_message_age,mean_range,success,timeout,collision
single,0,11,760011,1,-39,0,0,0.5,0,0,130.167,24695.1,0,0,0
single,0,11,760011,2,-38,0,0,0.333333,0,0,87.1667,24266.2,0,0,0
single,0,11,760011,3,-37,0,0,0.666667,0,0,86.8333,23819.4,0,0,0
single,0,11,760011,4,-36,0,0,0.333333,0,0,87,23369.7,0,0,0
single,0,11,760011,5,-35,0,0,0.666667,0,0,87,22920.2,0,0,0
single,0,11,760011,6,-34,0,0,0.333333,0,0,87.3333,22470.8,0,0,0
single,0,11,760011,7,-33,0,0,0.666667,0,0,87.3333,22021.8,0,0,0
single,0,11,760011,8,-32,0,0,0.333333,0,0,87,21572.8,0,0,0
single,0,11,760011,9,-31,0,0,0.5,0,0,87.1667,21124.2,0,0,0
single,0,11,760011,10,-30,0,0,0.5,0,0,87.5,20675.7,0,0,0
single,0,11,760011,11,-29,0,0,0.333333,0,0,87.3333,20227.7,0,0,0
single,0,11,760011,12,-28,0,0,0.166667,0,0,87.8333,19779.7,0,0,0
single,0,11,760011,13,-27,0,0,0.666667,0,0,86.8333,19332.2,0,0,0
single,0,11,760011,14,-26,0,0,0.666667,0,0,86.8333,18884.9,0,0,0
single,0,11,760011,15,-25,0,0,0.333333,0,0,87.1667,18438.1,0,0,0
single,0,11,760011,16,-24,0,0.333333,1,0,0,86.6667,17991.4,0,0,0
single,0,11,760011,17,-23,0,0.333333,1,0,0,86.6667,17545.4,0,0,0
single,0,11,760011,18,-22,0,0.333333,0.333333,0,0,87,17099.7,0,0,0
single,0,11,760011,19,-21,0,0.333333,1,0,0,86.6667,16654.1,0,0,0
single,0,11,760011,20,-20,0,0.333333,0.5,0,0,87,16208.9,0,0,0
single,0,11,760011,21,-19,0,0.333333,0.333333,0,0,87.1667,15764,0,0,0
single,0,11,760011,22,-18,0,0.333333,0.666667,0,0,86.8333,15319.5,0,0,0
single,0,11,760011,23,-17,0,0.333333,0.666667,0,0,86.8333,14875.7,0,0,0
single,0,11,760011,24,-16,0,0.333333,0.666667,0,0,86.8333,14432.4,0,0,0
single,0,11,760011,25,-15,0,0.333333,0.666667,0,0,86.8333,13989.6,0,0,0
single,0,11,760011,26,-14,0,0.333333,0.666667,0,0,86.8333,13547.4,0,0,0
single,0,11,760011,27,-13,0,0.333333,0.5,0,0,87,13106.2,0,0,0
single,0,11,760011,28,-12,0,0.333333,1,0,0,86.6667,12665.3,0,0,0
single,0,11,760011,29,-11,0,0.333333,0.333333,0,0,87,12225.7,0,0,0
single,0,11,760011,30,-10,0,0.666667,0.666667,0,0,86.8333,11786.6,0,0,0
single,0,11,760011,31,-9,0,0.666667,0.166667,0,0,87.1667,11348.7,0,0,0
single,0,11,760011,32,-8,0,0.666667,0.666667,0,0,87,10911.7,0,0,0
single,0,11,760011,33,-7,0,1,1,0,0,0,10476.2,0,0,0
single,0,11,760011,34,-6,0,1,1,0,0,0,10042.1,0,0,0
single,0,11,760011,35,-5,0,1,0.5,0,0,0.666667,9609.89,0,0,0
single,0,11,760011,36,-4,0,1,1,0,0,0.166667,9179.45,0,0,0
single,0,11,760011,37,-3,0,1,1,0,0,0.166667,8751.6,0,0,0
single,0,11,760011,38,-2,0,1,1,0,0,0.333333,8326.24,0,0,0
single,0,11,760011,39,-1,0,1,0.5,0,0,0.833333,7904.28,0,0,0
single,0,11,760011,40,0,1,1,1,0,0,0.666667,7485.78,0,0,0
single,0,11,760011,41,1,1,1,0.166667,0,0,1.5,7071.87,0,0,0
single,0,11,760011,42,2,1,1,0.333333,0,0,2,6662.98,0,0,0
single,0,11,760011,43,3,1,1,0.333333,0,0,2.66667,6260.66,0,0,0
single,0,11,760011,44,4,1,1,0.166667,0,0.333333,3.5,5865.62,0,0,0
single,0,11,760011,45,5,1,0.666667,0.333333,0,0.333333,4,5479.9,0,0,0
single,0,11,760011,46,6,1,0.666667,0.166667,0,0,4.83333,5104.76,0,0,0
single,0,11,760011,47,7,1,0.666667,0.166667,0,0,5.5,4742.82,0,0,0
single,0,11,760011,48,8,1,0.666667,0.333333,0,0,6,4395.27,0,0,0
single,0,11,760011,49,9,1,0.666667,0.333333,0,0,6.66667,4065.02,0,0,0
single,0,11,760011,50,10,1,0.666667,0.166667,0,0,7.5,3754.38,0,0,0
single,0,11,760011,51,11,1,0.666667,0.333333,0,0,8,3464.63,0,0,0
single,0,11,760011,52,12,1,0.666667,0.333333,0,0,8.66667,3197.79,0,0,0
single,0,11,760011,53,13,1,0.666667,0.166667,0,0,9.5,2953.34,0,0,0
single,0,11,760011,54,14,1,0.666667,0.333333,0,0,10,2732.39,0,0,0
single,0,11,760011,55,15,1,0.666667,0.166667,0,0,10.8333,2533.18,0,0,0
single,0,11,760011,56,16,1,0.666667,0.166667,0,0,11.5,2360.45,0,0,0
single,0,11,760011,57,17,1,0.333333,0.333333,0,0,12,2227.2,0,0,0
single,0,11,760011,58,18,1,0.333333,0.166667,0,0,12.8333,2207.22,0,0,0
single,0,11,760011,59,19,1,0,0.166667,0,0,13.5,2300.64,0,0,0
single,0,11,760011,60,20,1,0,0,0,0,14.5,2453.36,0,0,0
single,0,11,760011,61,21,1,0,0.166667,0,0,15,2676.6,0,0,0
single,0,11,760011,62,22,1,0,0.166667,0,0,15.8333,2974.33,0,0,0
single,0,11,760011,63,23,1,0,0.333333,0,0,16,3320.26,0,0,0
single,0,11,760011,64,24,1,0,0.166667,0,0,16.8333,3690.92,0,0,0
single,0,11,760011,65,25,1,0,0.166667,0,0,17.6667,4074.87,0,0,0
single,0,11,760011,66,26,1,0,0.333333,0,0,18,4466.77,0,0,0
single,0,11,760011,67,27,1,0,0,0,0,19,4864.05,0,0,0
single,0,11,760011,68,28,1,0,0.166667,0,0,19.6667,5265.12,0,0,0
single,0,11,760011,69,29,1,0,0.333333,0,0,20,5669.14,0,0,0
single,0,11,760011,70,30,1,0,0.333333,0,0,20.6667,6075.41,0,0,0
single,0,11,760011,71,31,1,0,0.166667,0,0,21.5,6483.6,0,0,0
single,0,11,760011,72,32,1,0,0.166667,0,0,22.3333,6893.27,0,0,0
single,0,11,760011,73,33,1,0,0.166667,0,0,23.1667,7304.3,0,0,0
single,0,11,760011,74,34,1,0,0.333333,0,0,23.3333,7716.37,0,0,0
single,0,11,760011,75,35,1,0,0.333333,0,0,24,8129.47,0,0,0
single,0,11,760011,76,36,1,0,0,0,0,25,8543.32,0,0,0
single,0,11,760011,77,37,1,0,0.166667,0,0,25.6667,8957.97,0,0,0
single,0,11,760011,78,38,1,0,0.333333,0,0,26,9373.19,0,0,0
single,0,11,760011,79,39,1,0,0.166667,0,0,26.8333,9789.05,0,0,0
single,0,11,760011,80,40,1,0,0.333333,0,0,27.3333,10205.3,0,0,0
