train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,50,0.82,0.8,-0.02
0,post_failure_chain_recovered,Post-failure chain recovered,rate,50,0.82,0.8,-0.02
0,timeout,Timeout,rate,50,0.18,0.2,0.02
0,capped_recovery_steps,Restricted mean recovery steps,steps,50,44.34,48.64,4.3
0,tracking_during_failure_rate,Tracking during failure,rate,50,0.8479285719,0.8158745802,-0.03205399178
0,connectivity_during_failure,Connectivity during failure,rate,50,0.2235013294,0.2146390155,-0.008862313876
0,chain_closed_during_failure_rate,Chain closure during failure,rate,50,0.1279935065,0.1242792208,-0.003714285714
0,steps,Episode length,steps,50,84.34,88.64,4.3
1,success,Task success,rate,50,0.1,0.82,0.72
1,post_failure_chain_recovered,Post-failure chain recovered,rate,50,0.1,0.82,0.72
1,timeout,Timeout,rate,50,0.88,0.18,-0.7
1,capped_recovery_steps,Restricted mean recovery steps,steps,50,194.6,44.52,-150.08
1,tracking_during_failure_rate,Tracking during failure,rate,50,0.2478846193,0.8367989431,0.5889143238
1,connectivity_during_failure,Connectivity during failure,rate,50,0.09902920523,0.2026097944,0.1035805892
1,chain_closed_during_failure_rate,Chain closure during failure,rate,50,0.01166666667,0.121515873,0.1098492063
1,steps,Episode length,steps,50,234.6,84.52,-150.08
2,success,Task success,rate,50,0.68,0.98,0.3
2,post_failure_chain_recovered,Post-failure chain recovered,rate,50,0.68,0.98,0.3
2,timeout,Timeout,rate,50,0.32,0.02,-0.3
2,capped_recovery_steps,Restricted mean recovery steps,steps,50,74.38,9.84,-64.54
2,tracking_during_failure_rate,Tracking during failure,rate,50,0.7265277791,0.982425926,0.2558981469
2,connectivity_during_failure,Connectivity during failure,rate,50,0.1909338681,0.2295853243,0.03865145618
2,chain_closed_during_failure_rate,Chain closure during failure,rate,50,0.1012539683,0.156952381,0.0556984127
2,steps,Episode length,steps,50,114.38,49.84,-64.54
