update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.0739473402500153,-0.0015471644486146907,2.1526156067848206,0.813261866569519,0.0,0.0,0.17020416259765625,0.4,0.0,0.6,174.6,22986.578125,nan
2,0.23668092116713524,-0.00025117544464592356,0.47581368684768677,0.9747477322816849,0.0,0.0,-0.02541465312242508,,,,,,
3,0.13892582803964615,-0.0005155308875446352,0.28039421886205673,0.7557453960180283,0.0,0.0,-0.08399353176355362,,,,,,
4,0.12493936158716679,5.15168812853517e-06,0.25097575783729553,0.5536656379699707,0.0,0.0,-0.07881101220846176,,,,,,
5,1.1075630486011505,-8.369927915374831e-05,2.216728389263153,0.7174750566482544,0.0,0.0,0.12587371468544006,,,,,,
6,0.2967460975050926,-0.00043251637544017285,0.5962246507406235,0.9337164610624313,0.0,0.0,0.028443142771720886,,,,,,
7,0.30022188276052475,-0.00013191982604121577,0.6022187024354935,0.7555547207593918,0.0,0.0,-0.015734761953353882,,,,,,
8,0.35926026850938797,-0.0004172987937636208,0.7207162529230118,0.6805582493543625,0.0,0.0,-0.0037789687048643827,,,,,,
9,0.5882486402988434,-0.00017608236885280348,1.1783785820007324,0.7645716071128845,0.0,0.0,0.06322070956230164,,,,,,
10,0.22885476052761078,-0.0004728070659134609,0.46051499247550964,0.9299340695142746,0.0,0.0,-0.026773283258080482,1.0,0.0,0.0,46.0,6580.5978515625,nan
11,0.15602730587124825,-2.816940650518518e-06,0.3134249150753021,0.6823352426290512,0.0,0.0,-0.08426085859537125,,,,,,
12,0.3386456072330475,-0.00027321155175741296,0.679088294506073,0.6253286749124527,0.0,0.0,-0.01794935017824173,,,,,,
13,0.83072529733181,-0.0006211770936110916,1.664391577243805,0.8493331968784332,0.0,0.0,0.06944593042135239,,,,,,
14,0.5586898922920227,-0.00011310493878613492,1.1195619106292725,0.9779582023620605,0.0,0.0,0.018226655200123787,,,,,,
15,0.20342493057250977,-0.0003972198768071866,0.4091843292117119,0.7700113654136658,0.0,0.0,-0.03401048108935356,,,,,,
16,0.6804880201816559,-0.0005010124295949936,1.3634576499462128,0.7397935837507248,0.0,0.0,0.0023012161254882812,,,,,,
17,0.732138603925705,0.00021790790075715272,1.465325802564621,0.7421864718198776,0.0,0.0,0.09341392666101456,,,,,,
18,0.1567922607064247,-0.00030057217372814193,0.3160133957862854,0.9138665646314621,0.0,0.0,-0.033087726682424545,,,,,,
19,0.16109110042452812,-6.805251723562833e-05,0.3239194303750992,0.8005611449480057,0.0,0.0,-0.045229215174913406,,,,,,
20,0.11292009986937046,-5.114971126474188e-05,0.22721271216869354,0.6351048201322556,0.0,0.0,-0.07892527431249619,0.4,0.0,0.6,174.4,29191.5900390625,nan
21,1.166266679763794,-6.5788007456824e-05,2.3340604305267334,0.6977492123842239,0.0,0.0,0.1052534282207489,,,,,,
22,0.6770316362380981,-0.00014704931284859057,1.3558348715305328,0.7387454658746719,0.0,0.0,0.060359299182891846,,,,,,
23,0.25369613617658615,-0.0006127579617896117,0.5106197744607925,1.000990778207779,0.0,0.0,-0.01268740464001894,,,,,,
24,0.1222230177372694,-0.00010073774622770815,0.24638988077640533,0.8711860328912735,0.0,0.0,-0.07610049843788147,,,,,,
25,0.6553923785686493,-0.00021151693848331377,1.3127847909927368,0.7885120511054993,0.0,0.0,0.032450512051582336,,,,,,
26,1.0518219769001007,-6.746702452664621e-05,2.1052600741386414,0.7406491339206696,0.0,0.0,0.15182781219482422,,,,,,
27,0.3336460515856743,-0.00033050977193238573,0.6696208566427231,0.8338656723499298,0.0,0.0,0.058828506618738174,,,,,,
28,0.14006351307034492,-3.7191512689105366e-05,0.2819285988807678,0.8635993003845215,0.0,0.0,-0.07934463769197464,,,,,,
29,0.1235483456403017,-0.0002857702759984093,0.24914877861738205,0.7402763813734055,0.0,0.0,-0.07910778373479843,,,,,,
30,0.7455476671457291,-0.0002269035467179492,1.4928223490715027,0.6366233825683594,0.0,0.0,0.040098752826452255,1.0,0.0,0.0,44.8,6460.143359375,nan
31,0.8678697347640991,-0.0002558414113688623,1.7379160821437836,0.8324637413024902,0.0,0.0,0.14286141097545624,,,,,,
32,0.8876959085464478,-0.0002136821161302649,1.7774866819381714,0.8337477445602417,0.0,0.0,0.08756222575902939,,,,,,
33,0.6474837213754654,5.026891206405537e-06,1.296366959810257,0.7047752737998962,0.0,0.0,0.0779377818107605,,,,,,
34,0.6465951651334763,-0.000492211978174506,1.295680284500122,0.7527703046798706,0.0,0.0,0.0553581565618515,,,,,,
35,1.1425027549266815,-0.00024078026520690798,2.286888599395752,0.7007595598697662,0.0,0.0,0.15328530967235565,,,,,,
36,0.8318991810083389,-0.0003250284692812855,1.665747344493866,0.6494821757078171,0.0,0.0,0.1105857565999031,,,,,,
37,0.7734599560499191,-0.00014423532290175345,1.54886394739151,0.827789694070816,0.0,0.0,0.11722666770219803,,,,,,
38,0.22718456760048866,-0.0006391998977051117,0.45748909562826157,0.9207790940999985,0.0,0.0,-0.06829545646905899,,,,,,
39,0.2779342159628868,-0.00019803658627393084,0.5577974021434784,0.7664483040571213,0.0,0.0,-0.05672712251543999,,,,,,
40,0.5802251547574997,-7.296908423359838e-05,1.1620206534862518,0.7121960818767548,0.0,0.0,0.03697691485285759,0.8,0.0,0.2,88.2,14926.033203125,nan
41,0.9586997628211975,-0.000177635345607996,1.9194234311580658,0.8343131691217422,0.0,0.0,0.1631777137517929,,,,,,
42,0.20551883056759834,-0.00015921673608954023,0.4133625775575638,1.003242403268814,0.0,0.0,-0.02246236801147461,,,,,,
43,0.14354463666677475,-6.716678824636446e-05,0.28887563198804855,0.8260130733251572,0.0,0.0,-0.08608878403902054,,,,,,
44,0.22566692158579826,-0.0005574259048444219,0.4539087414741516,0.73002128303051,0.0,0.0,-0.0446886271238327,,,,,,
45,1.1856922507286072,-0.00015793345240489032,2.3731148838996887,0.7072606086730957,0.0,0.0,0.14265403151512146,,,,,,
46,0.6397643834352493,-0.00032625704504118946,1.2818984389305115,0.8585493266582489,0.0,0.0,0.08598289638757706,,,,,,
47,0.5029192641377449,-0.0003982024973083753,1.0084503591060638,0.9077283442020416,0.0,0.0,0.022477542981505394,,,,,,
48,0.1329445205628872,-0.00011661058927847634,0.26791078597307205,0.894267275929451,0.0,0.0,-0.06907989084720612,,,,,,
49,0.5987350791692734,1.8393932502164256e-05,1.1990694105625153,0.8180289268493652,0.0,0.0,0.016102684661746025,,,,,,
50,0.5530294179916382,-0.00028354224256565974,1.1082593500614166,0.8167286962270737,0.0,0.0,0.02099739946424961,1.0,0.0,0.0,45.2,6423.2470703125,nan
51,0.33031491190195084,-0.00018121837971785126,0.6626018583774567,0.8047870695590973,0.0,0.0,0.014146664179861546,,,,,,
52,0.4485323950648308,-0.00048424164318316976,0.8996667563915253,0.8167371153831482,0.0,0.0,0.019573790952563286,,,,,,
53,0.5204154402017593,-0.00024987190105729695,1.0426679253578186,0.6686588078737259,0.0,0.0,0.010844395495951176,,,,,,
54,0.4440127909183502,-0.0005920487359011295,0.8907424658536911,0.7663895636796951,0.0,0.0,0.02706313692033291,,,,,,
55,0.3868546560406685,-0.001365313000860624,0.7783147543668747,0.9374063163995743,0.0,0.0,0.03909021615982056,,,,,,
56,0.25317784398794174,-0.00027055742793891113,0.5086425542831421,0.8728760480880737,0.0,0.0,-0.06467694044113159,,,,,,
57,0.5090663731098175,0.00019655632907689125,1.0192611515522003,0.7607696652412415,0.0,0.0,0.03427285701036453,,,,,,
