train_seed,metric,label,unit,n_matched_episodes,no_role_pair_gate,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,100,0.53,0.65,0.12
0,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.53,0.65,0.12
0,timeout,Timeout,rate,100,0.47,0.35,-0.12
0,capped_recovery_steps,Restricted mean recovery steps,steps,100,106.11,80.4,-25.71
0,tracking_during_failure_rate,Tracking during failure,rate,100,0.5983452394,0.7041712972,0.1058260578
0,connectivity_during_failure,Connectivity during failure,rate,100,0.1842341325,0.1944715666,0.01023743417
0,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.08832142857,0.1070912698,0.01876984127
0,steps,Episode length,steps,100,146.11,120.4,-25.71
1,success,Task success,rate,100,0.85,0.9,0.05
1,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.85,0.9,0.05
1,timeout,Timeout,rate,100,0.15,0.1,-0.05
1,capped_recovery_steps,Restricted mean recovery steps,steps,100,37.47,27.04,-10.43
1,tracking_during_failure_rate,Tracking during failure,rate,100,0.8725337307,0.9151944448,0.04266071409
1,connectivity_during_failure,Connectivity during failure,rate,100,0.2126002047,0.2124209719,-0.0001792328096
1,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1399404762,0.141265873,0.001325396825
1,steps,Episode length,steps,100,77.47,67.04,-10.43
2,success,Task success,rate,100,1,0.99,-0.01
2,post_failure_chain_recovered,Post-failure chain recovered,rate,100,1,0.99,-0.01
2,timeout,Timeout,rate,100,0,0.01,0.01
2,capped_recovery_steps,Restricted mean recovery steps,steps,100,5.03,7.16,2.13
2,tracking_during_failure_rate,Tracking during failure,rate,100,1,0.9922500001,-0.007749999948
2,connectivity_during_failure,Connectivity during failure,rate,100,0.2270939221,0.2174130356,-0.009680886532
2,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1707222222,0.1682063492,-0.002515873016
2,steps,Episode length,steps,100,45.03,47.16,2.13
3,success,Task success,rate,100,0.82,0.92,0.1
3,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.82,0.92,0.1
3,timeout,Timeout,rate,100,0.18,0.08,-0.1
3,capped_recovery_steps,Restricted mean recovery steps,steps,100,73.89,53.93,-19.96
3,tracking_during_failure_rate,Tracking during failure,rate,100,0.5504616457,0.6610866441,0.1106249984
3,connectivity_during_failure,Connectivity during failure,rate,100,0.1616656794,0.173986447,0.01232076756
3,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.09219047619,0.1092420635,0.0170515873
3,steps,Episode length,steps,100,113.89,93.93,-19.96
4,success,Task success,rate,100,0.04,0.97,0.93
4,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.04,0.97,0.93
4,timeout,Timeout,rate,100,0.96,0.03,-0.93
4,capped_recovery_steps,Restricted mean recovery steps,steps,100,216.2,11.58,-204.62
4,tracking_during_failure_rate,Tracking during failure,rate,100,0.01575000047,0.6090635085,0.593313508
4,connectivity_during_failure,Connectivity during failure,rate,100,0.03872321544,0.2153525196,0.1766293042
4,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.001428571429,0.1624722222,0.1610436508
4,steps,Episode length,steps,100,256.2,51.58,-204.62
