train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.85,1,0.15
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.85,1,0.15
0,timeout,Timeout,rate,20,0.15,0,-0.15
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,37.15,5.7,-31.45
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.8724107148,0.9984848486,0.1260741338
0,connectivity_during_failure,Connectivity during failure,rate,20,0.3140724266,0.3398689347,0.02579650809
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1473809524,0.1551605339,0.00777958153
0,steps,Episode length,steps,20,77.15,45.7,-31.45
1,success,Task success,rate,20,0.05,0.85,0.8
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.05,0.85,0.8
1,timeout,Timeout,rate,20,0.9,0.15,-0.75
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,200.15,37.6,-162.55
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.2020940214,0.8713690481,0.6692750267
1,connectivity_during_failure,Connectivity during failure,rate,20,0.1030021396,0.3106994118,0.2076972722
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.008333333333,0.1364285714,0.1280952381
1,steps,Episode length,steps,20,240.15,77.6,-162.55
2,success,Task success,rate,20,0.15,1,0.85
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.15,1,0.85
2,timeout,Timeout,rate,20,0.85,0,-0.85
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,187.9,5.1,-182.8
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.2658333365,0.9979166668,0.7320833303
2,connectivity_during_failure,Connectivity during failure,rate,20,0.1301488127,0.3439914081,0.2138425954
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.02142857143,0.1699603175,0.148531746
2,steps,Episode length,steps,20,227.9,45.1,-182.8
