train_seed,metric,label,unit,n_matched_episodes,no_graph,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,10,0,0.8,0.8
0,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0,0.8,0.8
0,timeout,Timeout,rate,10,1,0.2,-0.8
0,capped_recovery_steps,Restricted mean recovery steps,steps,10,220,48.3,-171.7
0,tracking_during_failure_rate,Tracking during failure,rate,10,0.06833333537,0.8325000004,0.7641666651
0,connectivity_during_failure,Connectivity during failure,rate,10,0.0450000011,0.2929828105,0.2479828094
0,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0,0.1296825397,0.1296825397
0,steps,Episode length,steps,10,260,88.3,-171.7
1,success,Task success,rate,10,0.6,1,0.4
1,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0.6,1,0.4
1,timeout,Timeout,rate,10,0.4,0,-0.4
1,capped_recovery_steps,Restricted mean recovery steps,steps,10,91.3,5.5,-85.8
1,tracking_during_failure_rate,Tracking during failure,rate,10,0.3793981595,0.9939393943,0.6145412348
1,connectivity_during_failure,Connectivity during failure,rate,10,0.2197619085,0.3321609011,0.1123989926
1,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0.0953968254,0.16254329,0.06714646465
1,steps,Episode length,steps,10,131.3,45.5,-85.8
2,success,Task success,rate,10,0,1,1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0,1,1
2,timeout,Timeout,rate,10,1,0,-1
2,capped_recovery_steps,Restricted mean recovery steps,steps,10,220,5.2,-214.8
2,tracking_during_failure_rate,Tracking during failure,rate,10,0.005416666828,1,0.9945833332
2,connectivity_during_failure,Connectivity during failure,rate,10,0.05000000115,0.3373545037,0.2873545025
2,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0,0.1663492063,0.1663492063
2,steps,Episode length,steps,10,260,45.2,-214.8
3,success,Task success,rate,10,0,0.9,0.9
3,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0,0.9,0.9
3,timeout,Timeout,rate,10,1,0.1,-0.9
3,capped_recovery_steps,Restricted mean recovery steps,steps,10,220,72.5,-147.5
3,tracking_during_failure_rate,Tracking during failure,rate,10,0,0.5897023845,0.5897023845
3,connectivity_during_failure,Connectivity during failure,rate,10,0.04541666776,0.2304861161,0.1850694484
3,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0,0.0944047619,0.0944047619
3,steps,Episode length,steps,10,260,112.5,-147.5
4,success,Task success,rate,10,0.7,1,0.3
4,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0.7,1,0.3
4,timeout,Timeout,rate,10,0.3,0,-0.3
4,capped_recovery_steps,Restricted mean recovery steps,steps,10,69.9,5.1,-64.8
4,tracking_during_failure_rate,Tracking during failure,rate,10,0.4751851993,0.6666666865,0.1914814872
4,connectivity_during_failure,Connectivity during failure,rate,10,0.2536309572,0.3673611181,0.1137301609
4,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0.1096825397,0.1677380952,0.05805555556
4,steps,Episode length,steps,10,109.9,45.1,-64.8
