train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.75,1,0.25
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.75,1,0.25
0,timeout,Timeout,rate,20,0.25,0,-0.25
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,59.35,5.9,-53.45
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.7859027785,1,0.2140972215
0,connectivity_during_failure,Connectivity during failure,rate,20,0.3095403507,0.3403538432,0.03081349254
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1151587302,0.1518253968,0.03666666667
0,steps,Episode length,steps,20,99.35,45.9,-53.45
1,success,Task success,rate,20,0.25,0.95,0.7
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.25,0.95,0.7
1,timeout,Timeout,rate,20,0.75,0.05,-0.7
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,166.65,16.65,-150
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.3633333364,0.9572916669,0.5939583305
1,connectivity_during_failure,Connectivity during failure,rate,20,0.147542993,0.3244669978,0.1769240048
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.03323412698,0.1435930736,0.1103589466
1,steps,Episode length,steps,20,206.65,56.65,-150
2,success,Task success,rate,20,0.15,1,0.85
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.15,1,0.85
2,timeout,Timeout,rate,20,0.85,0,-0.85
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,188,5.4,-182.6
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.2660416698,1,0.7339583302
2,connectivity_during_failure,Connectivity during failure,rate,20,0.1340625034,0.3296197152,0.1955572118
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.01964285714,0.1609126984,0.1412698413
2,steps,Episode length,steps,20,228,45.4,-182.6
