method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30000,0,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14867.063444010417,5306.79443359375,40.10164251923561
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30001,1,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14659.562117866848,4961.25341796875,40.798014253377914
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30002,2,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14652.126167629076,4944.44580078125,40.81256803870201
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30003,3,20,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09615384764396227,0.8641025661275937,17.310256162171182,0.0,1.0,0.0,260.0,38644.988606144834,81934.21875,6.611993468366563
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30004,4,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15126.81631747159,5734.40869140625,38.89751794934273
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30005,5,20,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10128205269575119,0.8615384636016993,17.528204881342557,0.0,1.0,0.0,260.0,38615.16728609525,82116.1640625,8.971553733572364
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30006,6,20,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09102564259217336,0.8615384636016993,17.426922827615186,0.0,1.0,0.0,260.0,38722.36846923828,81993.6015625,5.8775029089301825
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30007,7,20,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.08974359127191398,0.938461539378533,15.841025348924674,0.0,1.0,0.0,260.0,38746.40802471455,81762.8828125,10.497312787920237
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30008,8,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202899025834125,1.0,52.7536216404127,0.0,0.0,0.0,46.0,14689.773172129755,5078.59716796875,40.43146154284477
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30009,9,20,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09358974511806782,0.8615384636016993,17.426922827615186,0.0,1.0,0.0,260.0,38710.274651630105,82000.1171875,6.146646655164659
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30010,10,20,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10128205269575119,0.8256410281245525,18.056410011993005,0.0,1.0,0.0,260.0,38501.14616511418,81798.453125,7.132072584703565
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30011,11,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14865.475347222222,5306.82470703125,40.02219599485397
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30012,12,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14870.907975260418,5318.32568359375,40.009675949811935
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_bc_seed3/actor_critic_latest.pt,checkpoint,30013,13,20,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.0012820513202593878,0.10000000149011612,0.8589743610758048,17.64743564690535,0.0,1.0,0.0,260.0,38650.228819861775,82177.7734375,7.258744280785322
