method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40000,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14661.17338230299,4850.00244140625,40.990932315588
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40001,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14487.995449634309,4474.69189453125,41.82718676328659
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40002,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,50.0740726047092,0.0,0.0,0.0,45.0,14939.65732421875,5339.81396484375,39.66161799430847
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40003,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15154.441861239347,5745.34228515625,38.903537303209305
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40004,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,51.21211970936168,0.0,0.0,0.0,44.0,15121.643543590199,5787.234375,38.843290865421295
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40005,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14646.071395210598,4856.85888671875,40.89680436253548
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40006,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15136.74774724787,5745.46044921875,39.07038113474846
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40007,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14645.913075322691,4867.48876953125,40.687512159347534
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40008,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15154.145840731535,5813.43701171875,38.823075741529465
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40009,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,54.63767955614173,0.0,0.0,0.0,46.0,14702.20601222826,4941.908203125,40.59023728966713
