method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30000,0,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14857.588563368055,5208.4072265625,40.26667216420174
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30001,1,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14650.47995923913,4861.34765625,40.96295428276062
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30002,2,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14857.525347222223,5205.265625,40.06954473257065
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30003,3,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14259.519266764322,4129.2421875,42.87362298369408
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30004,4,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15124.820290305397,5699.37890625,38.923436015844345
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30005,5,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14639.666652513586,4842.21826171875,41.17634874582291
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30006,6,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.45833333767950535,1.0,39.72222105662028,0.0,0.0,0.0,48.0,14306.580220540365,4203.38671875,42.82077553868294
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30007,7,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027210885164689044,0.46258503806834317,1.0,38.91156348403619,0.0,0.0,0.0,49.0,14151.098159478635,3886.757568359375,43.57954850792885
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30008,8,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14869.53669704861,5265.41259765625,40.22429025173187
EA-RG-MAPPO-S,results/ri_gmappo_3d_multirelation_residual_bc_seed3/actor_critic_latest.pt,checkpoint,30009,9,20,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.45833333767950535,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14305.075724283854,4200.947265625,42.733175575733185
