method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,0,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,44.255317850315826,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14451.84397855718,4516.85595703125,41.967318028211594
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,1,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,43.33333206176758,0.0,0.0,0.0,48.0,45.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,14295.485046386719,4202.50048828125,42.75785329937935
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,2,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14922.770160590278,5292.078125,39.877223432064056
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,3,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,50.0740726047092,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14935.405305989583,5381.5537109375,39.634360909461975
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,4,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,50.0740726047092,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14892.417176649305,5369.83251953125,39.792266488075256
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,5,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14631.162098760191,4809.111328125,41.11208117008209
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,6,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,51.21211970936168,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15129.838734019886,5742.51513671875,38.8924635052681
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,7,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14630.919688349184,4813.39794921875,40.90756756067276
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,8,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,51.21211970936168,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15143.04833984375,5800.78564453125,38.653712421655655
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,9,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,0.0,0.0,1.0,0.0012820513202593878,0.10128205292499982,0.7923076952879246,22.798717693296762,0.0,1.0,0.0,260.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38719.51267841046,83880.5078125,1.4352965280413628
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,10,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14638.522588315218,4826.33251953125,40.89791959524155
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,11,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,48.985505808954656,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14679.857942000679,4914.39501953125,40.862781047821045
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,12,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,44.255317850315826,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14435.912431432846,4568.43310546875,41.92902886867523
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,13,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14901.555349392362,5266.28173828125,40.08530244231224
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,14,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14886.640961371528,5274.32958984375,40.069020450115204
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,15,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,43.33333206176758,0.0,0.0,0.0,48.0,45.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,14289.723846435547,4232.79931640625,42.699031710624695
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,16,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,44.255317850315826,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14454.19467877327,4493.2041015625,41.87465214729309
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,17,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,50.0740726047092,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14889.183723958333,5364.001953125,39.79902026057243
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,18,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14640.602666440218,4900.31982421875,41.04061642289162
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,19,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,48.985505808954656,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14658.892546280571,4969.98681640625,40.6070673763752
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,20,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14646.340979534647,4837.6083984375,41.09701681137085
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,21,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.027210885164689044,0.46938775935951543,1.0,42.4489783462213,0.0,0.0,0.0,49.0,46.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,14122.82424366231,3987.594970703125,43.42613136768341
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,22,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.026666667461395264,0.4733333373069763,1.0,41.599998779296875,0.0,0.0,0.0,50.0,47.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,13954.083583984375,3696.6962890625,44.15621396899223
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,23,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,50.0740726047092,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14887.837543402778,5346.57958984375,39.82415175437927
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,24,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,44.255317850315826,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14456.440782912234,4593.2841796875,41.91768032312393
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,25,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14640.274254840353,4823.1103515625,40.90160781145096
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,26,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,0.0,0.0,0.0,0.0,0.09871795016985674,0.7794871826584523,21.997435672581197,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38801.83210073618,83990.125,-0.3094127783551812
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,27,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,0.0,0.0,1.0,0.003846153960778163,0.10384615545089428,0.6589743611904291,27.821794421970843,0.0,1.0,0.0,260.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38615.86376014123,83769.5859375,-5.229291874915361
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,28,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,43.33333206176758,0.0,0.0,0.0,48.0,45.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,14258.335469563803,4141.09375,42.78424113988876
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_edge_features_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,29,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_edge_features,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,50.0740726047092,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14884.376019965277,5339.6044921875,39.82498672604561
