method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610000,0,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.3333333432674408,0.9130434795566227,28.565216563318085,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,0.6666666865348816,0.42857143708637785,15018.658171280571,6329.61376953125,36.76688888669014
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610001,1,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.3333333432674408,0.9130434795566227,28.565216563318085,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,0.6666666865348816,0.42857143708637785,15053.841276749321,6519.24658203125,36.618293553590775
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610002,2,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.3407407508956061,0.9259259270297157,29.111110264725156,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,0.6666666865348816,0.4444444527228673,15122.655772569444,6333.81884765625,36.718781143426895
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610003,3,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.3262411444745165,0.9007092213377039,28.056736774901125,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,0.6666666865348816,0.4166666753590107,14931.115733045213,6369.81298828125,36.726578414440155
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610004,4,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.3333333432674408,0.9259259270297157,29.111110264725156,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,0.6666666865348816,0.4444444527228673,15176.0953125,6518.30615234375,36.52193373441696
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610005,5,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0025641026405187756,0.05641025786216442,0.1705128210095259,94.93333440950283,0.0,1.0,0.0,260.0,41.0,-1.0,0.0,220.0,0.0,0.03750000111758709,0.06666666828095913,24744.87367976262,42862.64453125,-16.15047799795866
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610006,6,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.003846153960778163,0.0730769252547851,0.17179487232978527,94.66794735124478,0.0,1.0,0.0,260.0,42.0,-1.0,0.0,220.0,0.0,0.09583333618938923,0.07083333507180214,18843.731710111177,37324.5703125,-10.779593961313367
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610007,7,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0025641026405187756,0.07564102778067956,0.17179487232978527,94.66794735124478,0.0,1.0,0.0,260.0,42.0,-1.0,0.0,220.0,0.0,0.10000000298023223,0.07083333507180214,23373.598944561298,53314.703125,-22.77932945638895
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610008,8,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.0012820513202593878,0.052564104016010575,0.17179487232978527,94.66794735124478,0.0,1.0,0.0,260.0,41.0,-1.0,0.0,220.0,0.0,0.02916666753590107,0.07083333507180214,18579.55127328726,30346.224609375,-8.549936292693019
EA-RG-MAPPO-S,results/intercept_3d_no_graph_source_curriculum/runs/no_graph/bc_ppo_seed0/actor_critic_best.pt,checkpoint,610009,9,50,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,0.0,0.0,1.0,0.003846153960778163,0.07564102789530387,0.17179487232978527,94.66794735124478,0.0,1.0,0.0,260.0,42.0,-1.0,0.0,220.0,0.0,0.10416666977107525,0.07083333507180214,23471.89690598708,52340.57421875,-21.391157068312168
