method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,0,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.027777778605620067,0.4722222263614337,1.0,41.52777655919393,0.0,0.0,0.0,48.0,45.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,14244.007548014322,4230.65234375,42.908458799123764
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,1,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,0.0,0.0,1.0,0.0025641026405187756,0.10256410390138626,0.48333333363899816,47.67179464571751,0.0,1.0,0.0,260.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37827.40274094802,82535.6171875,-17.992238980717957
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,2,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,44.29629499647353,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14908.620746527778,5246.9306640625,40.00068074464798
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,3,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14921.739973958332,5324.3349609375,39.85431516170502
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,4,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14881.304513888888,5325.55517578125,40.00443935394287
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,5,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14628.064421280571,4838.05517578125,41.180404394865036
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,6,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15120.828857421875,5734.287109375,39.078660786151886
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,7,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,43.33333206176758,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14627.739003057066,4844.62939453125,40.97414842247963
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,8,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15130.007679332386,5751.48583984375,38.868214040994644
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,9,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.02836879517169709,0.4539007138698659,1.0,42.41134627321933,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14465.973643201463,4545.13330078125,41.94225358963013
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,10,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,43.33333206176758,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14633.597815472147,4825.787109375,40.98810961842537
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,11,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14683.076320482336,4946.779296875,41.01801961660385
RI-GMAPPO BC-to-PPO,results/intercept_3d_no_role_identity_baseline_seed0_diagnostic/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,0,12,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,42.41134627321933,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14426.546345162898,4517.53955078125,42.055449873209
