update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.7181837260723114,-0.0020251596288289875,3.441145598888397,0.3639446943998337,0.0,0.0,0.24139447510242462,1.0,0.0,0.0,46.8,4688.67470703125,nan
2,1.5931044220924377,-0.0013009089161641896,3.1895360946655273,0.36272434890270233,0.0,0.0,0.26600751280784607,,,,,,
3,1.783174991607666,-0.0001896192115964368,3.5676262378692627,0.44851163774728775,0.0,0.0,0.3067575693130493,,,,,,
4,1.6061035692691803,-0.001509384994278662,3.2161929607391357,0.48350266367197037,0.0,0.0,0.22968049347400665,,,,,,
5,1.1837924122810364,-0.002354756652493961,2.373959720134735,0.8326523452997208,0.0,0.0,0.1346338391304016,,,,,,
6,0.7802154868841171,-0.0008750175232612456,1.5643091201782227,1.0640482306480408,0.0,0.0,0.023946253582835197,,,,,,
7,0.7366702258586884,-0.0017418131513595725,1.4789282977581024,1.052123337984085,0.0,0.0,0.00902868714183569,,,,,,
8,1.0920215249061584,-0.0004545346109807724,2.186175763607025,0.611802726984024,0.0,0.0,0.10578163713216782,,,,,,
9,1.2639279961585999,-0.00024914842894441236,2.5294564962387085,0.5511086881160736,0.0,0.0,0.17614777386188507,,,,,,
10,1.460177481174469,-0.0011390861764084548,2.92385995388031,0.6134247481822968,0.0,0.0,0.18289656937122345,1.0,0.0,0.0,46.6,4780.85966796875,nan
11,0.8153323233127594,-0.000981447141384706,1.6345621943473816,0.9673207104206085,0.0,0.0,0.0025021880865097046,,,,,,
12,0.862541913986206,-0.0013854613595564724,1.7299319207668304,1.0385654270648956,0.0,0.0,0.03778645768761635,,,,,,
13,1.0080930590629578,-0.0005770850936341887,2.0188023447990417,0.7309977114200592,0.0,0.0,0.08934684842824936,,,,,,
14,1.3586365580558777,-0.00020987975343222942,2.7184815406799316,0.3942960947751999,0.0,0.0,0.21249018609523773,,,,,,
15,1.4713328778743744,-7.773128595545131e-05,2.9434669613838196,0.3228798434138298,0.0,0.0,0.2738766074180603,,,,,,
16,1.6634700894355774,-0.00029632775476784445,3.3285064101219177,0.4868018999695778,0.0,0.0,0.26494932174682617,,,,,,
17,1.2903550863265991,-0.00017744931634899874,2.5821850895881653,0.5600045323371887,0.0,0.0,0.17614196240901947,,,,,,
18,1.4322972893714905,-0.00032924659171840176,2.8664377331733704,0.5923732668161392,0.0,0.0,0.16584335267543793,,,,,,
19,1.2306897044181824,-0.00044441610589274205,2.46319979429245,0.46576621383428574,0.0,0.0,0.18117065727710724,,,,,,
20,1.473410040140152,-0.00012833454699645586,2.947788178920746,0.3557020425796509,0.0,0.0,0.26691436767578125,1.0,0.0,0.0,46.2,4951.25927734375,nan
