update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.982440024614334,-0.001856520325722144,3.9693894386291504,0.3981718197464943,0.0,0.0,0.22811222076416016,0.6,0.0,0.4,132.8,36001.1009765625,nan
2,1.4877581298351288,-0.001620593568077311,2.97958505153656,0.41380035132169724,0.0,0.0,0.18511779606342316,,,,,,
3,1.4349039793014526,-0.0015539491432718933,2.8738239407539368,0.454041987657547,0.0,0.0,0.12618863582611084,,,,,,
4,1.3473815023899078,-0.0013368182553676888,2.6982414722442627,0.4024032652378082,0.0,0.0,0.06113210320472717,,,,,,
5,1.9140181243419647,-0.0006532270987618105,3.8302506804466248,0.45395568013191223,0.0,0.0,0.1815776377916336,,,,,,
6,1.5096801221370697,-0.00013679413223144365,3.0204723477363586,0.41929156333208084,0.0,0.0,0.19771476089954376,,,,,,
7,2.234923839569092,-9.195933625960606e-05,4.470902442932129,0.4353802725672722,0.0,0.0,0.3018692433834076,,,,,,
8,2.0393418669700623,-0.00029113834110239267,4.080084562301636,0.4092017412185669,0.0,0.0,0.2665348947048187,,,,,,
9,1.8847276270389557,-0.0001760216770563261,3.7705652117729187,0.3789711892604828,0.0,0.0,0.2681122124195099,,,,,,
10,1.9467968940734863,-0.00048692074172507205,3.8953818678855896,0.4071284607052803,0.0,0.0,0.2868732810020447,0.6,0.0,0.4,133.0,35422.09916992187,nan
11,1.7842952609062195,-0.0004062235724013874,3.5702271461486816,0.41213109344244003,0.0,0.0,0.2612885534763336,,,,,,
12,1.9957840740680695,-0.0008593634095923619,3.994151294231415,0.4321596622467041,0.0,0.0,0.2922152578830719,,,,,,
13,1.857907384634018,8.525179449314635e-05,3.716432213783264,0.39395909011363983,0.0,0.0,0.26958170533180237,,,,,,
14,1.984569102525711,-7.259674930537585e-05,3.9701231122016907,0.41985928267240524,0.0,0.0,0.2813833951950073,,,,,,
15,1.8678107261657715,-0.0003243327840518617,3.73712694644928,0.428423635661602,0.0,0.0,0.2634539306163788,,,,,,
16,1.5541444718837738,-0.0004405534054967575,3.109988570213318,0.4092693105340004,0.0,0.0,0.17497962713241577,,,,,,
17,1.4660870134830475,-0.0005839960479838702,2.934201717376709,0.4298379123210907,0.0,0.0,0.1493203341960907,,,,,,
18,1.2560445666313171,-0.001273467123004135,2.515453577041626,0.40872563421726227,0.0,0.0,0.06573863327503204,,,,,,
19,1.6083699762821198,-0.0017293746350333095,3.2212043404579163,0.5028164684772491,0.0,0.0,0.1595061868429184,,,,,,
20,1.5632234811782837,-0.000600417704845313,3.1286627650260925,0.5074609816074371,0.0,0.0,0.18205547332763672,0.6,0.0,0.4,132.0,36338.89541015625,nan
