method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40000,0,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,1.0,0.0025641026405187756,0.1012820528103755,0.7346153885126114,24.644871541284598,0.0,1.0,0.0,260.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38595.64278470553,83732.375,-1.6747682904824615
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40001,1,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,0.0,0.0,0.09743589896422167,0.4730769238792933,46.66153797747997,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36075.05251558744,79223.546875,-17.631568275392056
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40002,2,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14926.638888888889,5344.0625,39.83886015415192
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40003,3,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15155.501686789772,5765.13623046875,38.88876512646675
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40004,4,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15106.297374378551,5754.96142578125,39.04641205072403
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40005,5,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14639.479577105978,4906.46044921875,41.039793610572815
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40006,6,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15143.204412286932,5814.212890625,39.01964929699898
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40007,7,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14639.455672554348,4914.71728515625,40.83229398727417
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40008,8,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15155.376043146307,5832.84716796875,38.808448523283005
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40009,9,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,1.0,0.003846153960778163,0.10512820665652935,0.7423076954025488,23.148717605265286,0.0,1.0,0.0,260.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38606.897737004205,83747.7890625,0.1345846988260746
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40010,10,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14647.726392663044,4938.197265625,40.81481671333313
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40011,11,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14667.318975033968,4935.56494140625,41.02780592441559
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40012,12,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,1.0,0.003846153960778163,0.10384615533626997,0.7423076954025488,23.148717605265286,0.0,1.0,0.0,260.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38683.00942195012,83947.25,-0.1472831293940544
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40013,13,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14905.59758029514,5320.04638671875,40.04559049010277
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40014,14,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14888.357183159722,5304.79638671875,40.04644811153412
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40015,15,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,0.0,0.0,0.09615384764396227,0.5128205152658316,41.898718222861106,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31579.791852276143,64992.90234375,-4.436867946758866
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40016,16,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,1.0,0.0025641026405187756,0.10000000149011612,0.46923077003313945,47.20640979191432,0.0,1.0,0.0,260.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36350.67276611328,79628.8984375,-16.44702353235334
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40017,17,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15101.967018821022,5734.33154296875,39.06355828046799
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40018,18,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14641.364682404892,4918.83935546875,41.0258529484272
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40019,19,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14860.70263671875,5293.53759765625,40.027971625328064
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40020,20,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,44.255317850315826,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14441.49106549202,4576.44970703125,41.929973006248474
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40021,21,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,0.0,0.0,0.0948717964383272,0.7410256448846597,25.5282048740066,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38619.71555739183,83556.3671875,-3.539605285972357
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40022,22,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,0.0,0.0,0.0,0.0,0.09230769379780843,0.5461538498218242,39.802564386106454,0.0,1.0,0.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31867.891744290864,65891.71875,-3.54804939776659
EA-RG-MAPPO-S,results/intercept_3d_no_task_support_baseline_formal_seed0/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40023,23,30,straight,1.0,0.0,0,0.0,-1,0,0,no_task_support,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14880.960514322916,5308.26416015625,40.03202113509178
