epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,1.9158426357640161,0.4967673205495555,9074,1.0,0
2,1.3196085459656186,0.6041804422893248,9074,1.0,0
3,1.214970800611708,0.6206377194915876,9074,1.0,0
4,1.1051845384968653,0.6696789361545809,9074,1.0,0
5,0.9676928453975253,0.7099404893101168,9074,1.0,0
6,0.8699794163306555,0.7252589817059731,9074,1.0,0
7,0.8100145128038194,0.7393284843141577,9074,1.0,0
8,0.8019481731785668,0.7409080890456249,9074,1.0,0
9,0.7480394608444638,0.758247006098009,9074,1.0,0
10,0.7469879753059812,0.7578429211667034,9074,1.0,0
11,0.7031881146960788,0.7725369186687239,9074,1.0,0
12,0.677282495631112,0.7792961575196532,9074,1.0,0
13,0.6469926353957918,0.7917493204026156,9074,1.0,0
14,0.6054949892891778,0.8161413562559694,9074,1.0,0
15,0.5884656343195174,0.8204393505253104,9074,1.0,0
16,0.5771781222687827,0.8212842553816766,9074,1.0,0
17,0.5674906008773379,0.8209903754316362,9074,1.0,0
18,0.5571592483255599,0.8228271251193887,9074,1.0,0
19,0.5456142615940835,0.8243332598633458,9074,1.0,0
20,0.5551209011011653,0.8202189405627801,9074,1.0,0
21,0.5435642517275281,0.8217250753067372,9074,1.0,0
22,0.5238886690802045,0.8257291896260378,9074,1.0,0
23,0.5390904098749161,0.8206597604878407,9074,1.0,0
24,0.5158499843544431,0.8255455146572626,9074,1.0,0
25,0.510852704445521,0.8284475791639115,9074,1.0,0
26,0.551910905374421,0.8134229667180957,9074,1.0,0
27,0.49995661195781493,0.830210858864154,9074,1.0,0
28,0.4981629823644956,0.8307986187642348,9074,1.0,0
29,0.4972530139817132,0.8305414738079494,9074,1.0,0
30,0.49169203556246227,0.8320108735581515,9074,1.0,0
31,0.49489355583985645,0.8303210638454191,9074,1.0,0
32,0.4831594452261925,0.8325618984644773,9074,1.0,0
33,0.4784603839119275,0.8332598633458232,9074,1.0,0
34,0.47453562501404023,0.8346557931085151,9074,1.0,0
35,0.47941796481609344,0.8326721034457424,9074,1.0,0
36,0.4663943590389358,0.8372639776651238,9074,1.0,0
37,0.4711931844552358,0.8335170083021086,9074,1.0,0
38,0.4773236041267713,0.8319006685768864,9074,1.0,0
39,0.4812951336304347,0.8306884137829696,9074,1.0,0
40,0.4679186824295256,0.8338843582396591,9074,1.0,0
41,0.45764891223775017,0.8368598927338182,9074,1.0,0
42,0.470949896507793,0.8334068033208434,9074,1.0,0
43,0.46357298807965386,0.8349496730585556,9074,1.0,0
44,0.46162958360380596,0.835978252883697,9074,1.0,0
45,0.45472295582294464,0.8371537726838586,9074,1.0,0
46,0.44249501244889367,0.8404599221218132,9074,1.0,0
47,0.4521341116891967,0.838072147527735,9074,1.0,0
48,0.447401750418875,0.8389537873778562,9074,1.0,0
49,0.44272680166694856,0.839504812284182,9074,1.0,0
50,0.469822028444873,0.8326353684519874,9074,1.0,0
51,0.4386667294634713,0.8411946219969143,9074,1.0,0
52,0.443653866648674,0.8392476673278966,9074,1.0,0
53,0.4596011870437198,0.8315333186393359,9074,1.0,0
54,0.4399130410618252,0.8395782822716921,9074,1.0,0
55,0.4454132931099998,0.8389170523841011,9074,1.0,0
56,0.44146059701840085,0.8399088972154874,9074,1.0,0
57,0.432125443385707,0.8411946219969143,9074,1.0,0
58,0.42991282956467736,0.8430681066784219,9074,1.0,0
59,0.4350488550133175,0.8405701271030784,9074,1.0,0
60,0.43427885158194435,0.8402027771655279,9074,1.0,0
61,0.43333498554097283,0.8406435970905884,9074,1.0,0
62,0.43897878213061226,0.8394313422966718,9074,1.0,0
63,0.432520840730932,0.8404231871280582,9074,1.0,0
64,0.4302643711368243,0.8413782969656896,9074,1.0,0
65,0.4240698301129871,0.8433987216222173,9074,1.0,0
66,0.425370078947809,0.8434354566159724,9074,1.0,0
67,0.43668128963973785,0.839541547277937,9074,1.0,0
68,0.43015868879026836,0.8411211520094042,9074,1.0,0
69,0.4301474856005775,0.8418925868782602,9074,1.0,0
70,0.43277232100566226,0.8392476673278966,9074,1.0,0
71,0.42044323600000805,0.8437660715597678,9074,1.0,0
72,0.42617323911852306,0.8422599368158108,9074,1.0,0
73,0.4292093805140919,0.8413415619719344,9074,1.0,0
74,0.4251807000901964,0.8409742120343839,9074,1.0,0
75,0.4290812677807278,0.8425905517596062,9074,1.0,0
76,0.41458040806982255,0.8456395562412754,9074,1.0,0
77,0.4152434393763542,0.8442068914848284,9074,1.0,0
78,0.4187822772396935,0.8433252516347072,9074,1.0,0
79,0.4162101323405902,0.8443170964660937,9074,1.0,0
80,0.41002728624476326,0.8464844610976416,9074,1.0,0
