epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.485956565539042,0.4464318473674555,3634,1.0,0
2,1.5970113277435303,0.5370574206567602,3634,1.0,0
3,1.4013356606165568,0.5849385433865346,3634,1.0,0
4,1.334708825747172,0.5829205650339387,3634,1.0,0
5,1.2916449546813964,0.5833791964777105,3634,1.0,0
6,1.2321487108866374,0.62126215373326,3634,1.0,0
7,1.189010246594747,0.6288754356998716,3634,1.0,0
8,1.146684710184733,0.6509814712896717,3634,1.0,0
9,1.1004584272702536,0.6746468537882957,3634,1.0,0
10,1.0487717827161154,0.6921665749403779,3634,1.0,0
11,1.0003158450126648,0.7046413502109705,3634,1.0,0
12,0.9626417716344198,0.706842781141075,3634,1.0,0
13,0.9274624705314636,0.709411117226197,3634,1.0,0
14,0.8911061525344849,0.717391304347826,3634,1.0,0
15,0.8588052829106648,0.7296826270409099,3634,1.0,0
16,0.8335113366444905,0.7363786461199779,3634,1.0,0
17,0.8002581874529521,0.7416987708677307,3634,1.0,0
18,0.7626717885335287,0.7568336085121996,3634,1.0,0
19,0.7524444182713826,0.7624289121262153,3634,1.0,0
20,0.7228312770525614,0.7716932672904054,3634,1.0,0
21,0.710771902402242,0.7716015410016511,3634,1.0,0
22,0.6943123618761698,0.775178866263071,3634,1.0,0
23,0.6799026211102803,0.7804072647220693,3634,1.0,0
24,0.6652109225591024,0.7897633461750138,3634,1.0,0
25,0.6646243731180826,0.796734544120345,3634,1.0,0
26,0.6512539029121399,0.7985690698954321,3634,1.0,0
27,0.6650981227556865,0.7871950100898918,3634,1.0,0
28,0.6378427227338155,0.8048981838194826,3634,1.0,0
29,0.6333223442236583,0.7987525224729407,3634,1.0,0
30,0.6294766505559285,0.8004953219592735,3634,1.0,0
