update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.26308394223451614,-0.0025732060409300317,0.5350514203310013,1.8685628175735474,0.0,0.0,0.1483316719532013,0.0,0.0,1.0,260.0,38158.178125,nan
2,0.6788613498210907,-0.0011310403206152841,1.3641456365585327,2.0804200768470764,0.0,0.0,0.23377104103565216,,,,,,
3,0.4731070473790169,-0.0013281496552117744,0.9531234055757523,2.126512348651886,0.0,0.0,0.2075074464082718,,,,,,
4,0.0565549423918128,-0.0006580858729048344,0.11838486604392529,1.9794042706489563,0.0,0.0,0.07292155176401138,,,,,,
5,0.03948356956243515,-0.0017159273653906126,0.08644520305097103,2.0231035947799683,0.0,0.0,-0.048578862100839615,0.0,0.0,1.0,260.0,44902.62421875,nan
6,0.05277019273489714,-0.002624131098855287,0.11493998020887375,2.07566636800766,0.0,0.0,-0.06882789731025696,,,,,,
7,0.03856424055993557,-0.0036724017506166717,0.08868451602756977,2.1056162118911743,0.0,0.0,-0.059665728360414505,,,,,,
8,0.026442299596965313,-0.0017392383645828957,0.06063069123774767,2.1338069438934326,0.0,0.0,-0.04935205355286598,,,,,,
9,0.014297352870926261,-0.0019215293529366573,0.03673489950597286,2.1485671401023865,0.0,0.0,-0.008354331366717815,,,,,,
10,0.008579667191952467,-0.002256877147980507,0.02599523076787591,2.161071002483368,0.0,0.0,0.011501606553792953,0.0,0.0,1.0,260.0,31665.53984375,nan
11,0.011997218476608396,0.0002704430323015039,0.02779608638957143,2.1712676286697388,0.0,0.0,-0.012067317962646484,,,,,,
12,0.05542825814336538,-0.0019678514217957854,0.11898317374289036,2.095477283000946,0.0,0.0,-0.03755424544215202,,,,,,
13,0.11102224700152874,0.0005667818016572568,0.22505974024534225,2.0744062066078186,0.0,0.0,-0.06734579056501389,,,,,,
14,0.18318980559706688,-0.00042977277068256825,0.371126651763916,1.943746417760849,0.0,0.0,-0.11299993842840195,,,,,,
15,0.1808452531695366,-0.00042813877068215156,0.3663755804300308,1.914396494626999,0.0,0.0,-0.11715373396873474,0.0,0.0,1.0,260.0,31449.373828125,nan
16,0.11987516470253468,-0.0013289076111204778,0.2462492138147354,1.920534759759903,0.0,0.0,-0.09660933166742325,,,,,,
17,0.1389632262289524,-0.0009044405863578575,0.2835175395011902,1.891103744506836,0.0,0.0,0.09073134511709213,,,,,,
18,0.6218465715646744,-0.00041114413883036605,1.2485687136650085,2.0266371369361877,0.0,0.0,0.2129407674074173,,,,,,
19,0.6960789263248444,-0.0003534586515647753,1.3971775770187378,2.156390428543091,0.0,0.0,0.23537121713161469,,,,,,
20,0.09140210226178169,-0.00031216193997352093,0.1874665804207325,2.0190266370773315,0.0,0.0,0.09419727325439453,0.0,0.0,1.0,260.0,31618.452734375,nan
