update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.26882078498601913,-0.0015060145330307861,0.5451633334159851,2.254860997200012,0.0,0.0,0.14824756979942322,0.0,0.0,1.0,260.0,45808.5671875,nan
2,0.681419238448143,-0.0005268094488810604,1.3686525225639343,2.380230963230133,0.0,0.0,0.22779853641986847,,,,,,
3,1.1415154933929443,-0.001894990768050775,2.2920214533805847,2.600242853164673,0.0,0.0,0.30079707503318787,,,,,,
4,0.22350988164544106,-0.0006075799610698596,0.45295634120702744,2.3607057929039,0.0,0.0,0.15478767454624176,,,,,,
5,0.025007951073348522,-0.0012673186477814014,0.056996786035597324,2.223123073577881,0.0,0.0,-0.03202113136649132,0.0,0.0,1.0,260.0,44808.4890625,nan
6,0.051050761714577675,-0.0010107268414376591,0.1085712406784296,2.2241315841674805,0.0,0.0,-0.05735498666763306,,,,,,
7,0.09691197611391544,-0.0009531259711366147,0.20018387585878372,2.226833760738373,0.0,0.0,-0.08652094751596451,,,,,,
8,0.1146901436150074,-0.0006798963610590292,0.23522817343473434,2.244044542312622,0.0,0.0,-0.0946534276008606,,,,,,
9,0.11257422529160976,-0.0010452214628458023,0.2317741997539997,2.267653703689575,0.0,0.0,-0.09418857097625732,,,,,,
10,0.09997654147446156,-0.0010609409800963476,0.20665761828422546,2.2913280725479126,0.0,0.0,-0.08911558240652084,0.0,0.0,1.0,260.0,58892.371875,nan
11,0.08800823800265789,-0.0005938770761222401,0.18183321133255959,2.3144920468330383,0.0,0.0,-0.08366638422012329,,,,,,
12,0.07734579220414162,3.86813965942423e-05,0.15926816314458847,2.3269739151000977,0.0,0.0,-0.07839088886976242,,,,,,
13,0.06631812639534473,-0.0007658479759502512,0.13884057477116585,2.336313545703888,0.0,0.0,-0.07322164624929428,,,,,,
14,0.060075792483985424,-0.0004424877952260431,0.12574666365981102,2.355053126811981,0.0,0.0,-0.06922486424446106,,,,,,
15,0.048467052169144154,-0.0004282817196017419,0.10249215736985207,2.3507454991340637,0.0,0.0,-0.06174091994762421,0.0,0.0,1.0,260.0,58897.5921875,nan
16,0.018250303342938423,-0.0011939424972906565,0.04359487071633339,2.3531892895698547,0.0,0.0,-0.04096044972538948,,,,,,
17,0.13530821725726128,-0.0007437241074512713,0.2767022028565407,2.2991603016853333,0.0,0.0,0.10399914532899857,,,,,,
18,0.549535408616066,-0.00028227207015696365,1.1043128371238708,2.3387503623962402,0.0,0.0,0.20028406381607056,,,,,,
19,1.061301976442337,-0.0004240280541125685,2.128664493560791,2.6062440872192383,0.0,0.0,0.2887610197067261,,,,,,
20,0.3257824257016182,-0.0015852060071965823,0.6595022678375244,2.383506655693054,0.0,0.0,0.17195801436901093,0.0,0.0,1.0,260.0,61347.19296875,nan
