train_seed,episode,single_eval_seed,multi_eval_seed,single_checkpoint,multi_checkpoint,single_recovered,multi_recovered,single_recovery_steps,multi_recovery_steps,recovery_step_gain,single_success,multi_success,single_tracking_during_failure,multi_tracking_during_failure,single_connectivity_during_failure,multi_connectivity_during_failure,case_score
0,0,91000,91000,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed0/actor_critic_best.pt,0,1,220.0,8.0,212.0,0,1,0.158,1.000,0.329,0.407,312.0
0,3,91003,91003,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed0/actor_critic_best.pt,0,1,220.0,8.0,212.0,0,1,0.150,1.000,0.342,0.407,312.0
2,0,91000,91000,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed2/actor_critic_best.pt,0,1,220.0,8.0,212.0,0,1,0.167,1.000,0.275,0.407,312.0
2,3,91003,91003,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed2/actor_critic_best.pt,0,1,220.0,8.0,212.0,0,1,0.154,1.000,0.338,0.407,312.0
1,10,91010,91010,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed1/actor_critic_best.pt,0,1,220.0,9.0,211.0,0,1,0.154,1.000,0.342,0.400,311.0
1,0,91000,91000,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed1/actor_critic_best.pt,0,1,220.0,10.0,210.0,0,1,0.154,0.970,0.342,0.394,310.0
1,3,91003,91003,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed1/actor_critic_best.pt,0,1,220.0,11.0,209.0,0,1,0.154,1.000,0.342,0.389,309.0
0,25,91025,91025,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed0/actor_critic_best.pt,1,1,8.0,7.0,1.0,1,1,1.000,1.000,0.407,0.417,1.0
2,10,91010,91010,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed2/actor_critic_best.pt,1,1,8.0,7.0,1.0,1,1,1.000,1.000,0.407,0.417,1.0
2,25,91025,91025,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/multi_relation/bc_ppo_seed2/actor_critic_best.pt,1,1,8.0,7.0,1.0,1,1,1.000,1.000,0.407,0.417,1.0
