graph_encoder,train_seed,episode,rollout_seed,step,node_failure_active,success,timeout,chain_closed,tracking_rate,attack_window_rate,comm_connectivity,mean_message_age,mean_range,blue0_x,blue0_y,blue0_z,blue1_x,blue1_y,blue1_z,blue2_x,blue2_y,blue2_z,red0_x,red0_y,red0_z
single,0,0,91000,1,0,0,0,0,0,0,1,86.6667,24746.6,-13798.9,-5472.68,4804.06,-15811,0,5200,-13776.5,5465.76,4620.06,9790.05,-1966.5,5002.25
single,0,0,91000,2,0,0,0,0,0,0,1,86.6667,24317.6,-13581.1,-5435.3,4808.48,-15608,0,5200,-13532.7,5415.33,4615.08,9580.1,-1970.51,5004.5
single,0,0,91000,3,0,0,0,0,0,0,1,86.6667,23871,-13345.6,-5394.88,4813.26,-15391,0,5200,-13272.5,5347.23,4638.95,9370.15,-1974.52,5006.75
single,0,0,91000,4,0,0,0,0,0,0,1,86.6667,23421.3,-13104.2,-5353.43,4818.16,-15171,0,5200,-13011.4,5278.88,4633.55,9160.2,-1978.53,5009
single,0,0,91000,5,0,0,0,0,0,0,1,86.6667,22971.9,-12862.8,-5311.99,4823.06,-14951,0,5200,-12751.2,5210.77,4657.41,8950.25,-1982.54,5011.25
single,0,0,91000,6,0,0,0,0,0,0,1,86.6667,22522.5,-12621.3,-5270.55,4827.96,-14731,0,5200,-12490.1,5142.42,4652.01,8740.3,-1986.55,5013.5
single,0,0,91000,7,0,0,0,0,0,0,1,86.6667,22073.4,-12379.9,-5229.11,4832.86,-14511,0,5200,-12229.9,5074.32,4675.88,8530.36,-1990.56,5015.75
single,0,0,91000,8,0,0,0,0,0,0,1,86.6667,21624.3,-12138.5,-5187.67,4837.76,-14291,0,5200,-11968.7,5005.97,4670.48,8320.41,-1994.57,5018
single,0,0,91000,9,0,0,0,0,0,0,1,86.6667,21175.6,-11897.1,-5146.23,4842.66,-14071,0,5200,-11708.5,4937.87,4694.34,8110.46,-1998.58,5020.25
single,0,0,91000,10,0,0,0,0,0,0,1,86.6667,20726.8,-11655.7,-5104.79,4847.56,-13851,0,5200,-11447.4,4869.51,4688.94,7900.51,-2002.59,5022.5
single,0,0,91000,11,0,0,0,0,0,0,1,86.6667,20278.5,-11414.2,-5063.34,4852.46,-13631,0,5200,-11187.2,4801.41,4712.81,7690.56,-2006.6,5024.75
