method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,42.41134627321933,0.0,0.0,0.0,47.0,14444.85279878657,4572.80224609375,42.014550775289536
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,1,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10128205269575119,0.5628205138903398,35.23333311092395,0.0,1.0,0.0,260.0,38412.23660888672,83384.8203125,-11.32017169892788
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14917.99638671875,5275.140625,40.06983423233032
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15155.369995117188,5758.34716796875,38.8928385078907
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15106.331210049715,5756.06396484375,39.045073330402374
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14654.627696161684,4980.32177734375,40.80512621998787
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15143.626642400568,5825.86083984375,39.01103654503822
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14654.778373386549,4984.9677734375,40.600019454956055
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,55.151513533158735,0.0,0.0,0.0,44.0,15166.116665926847,5892.48583984375,38.40346950292587
RI-GMAPPO BC-only,results/intercept_3d_single_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,9,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10384615533626997,0.7910256440822895,22.233333099920017,0.0,1.0,0.0,260.0,38716.051756873494,83865.2265625,3.074772134423256
