method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42000,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14870.26472439236,5233.71923828125,40.07560497522354
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42001,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14868.822634548611,5229.93212890625,39.96153625845909
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42002,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4166666716337204,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15221.351418235085,5944.951171875,38.759173691272736
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42003,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14851.971278211806,5204.96142578125,40.28214666247368
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42004,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15105.906372070312,5721.3515625,39.0879961848259
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42005,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14852.067263454861,5229.17724609375,40.17055967450142
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42006,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14637.676725968071,4868.02587890625,41.156760185956955
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42007,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14884.119129774306,5328.01416015625,40.00581493973732
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42008,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14644.405390200407,4876.73583984375,41.160822719335556
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_only_seed2/actor_critic_best.pt,checkpoint,42009,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14677.676821501358,4954.89697265625,41.020802319049835
