method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41000,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14649.382462211277,4878.162109375,41.16214409470558
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41001,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4166666716337204,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15199.66485040838,5914.21875,38.77075061202049
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41002,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14851.412543402777,5231.72021484375,40.07732143998146
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41003,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14259.264170328775,4260.5400390625,42.77253723144531
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41004,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15084.261574485085,5627.75537109375,39.33742016553879
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41005,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14849.87751736111,5192.40673828125,40.294618368148804
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41006,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14881.444140625,5302.50048828125,40.02427822351456
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41007,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14651.732644786005,4894.45556640625,40.934689700603485
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41008,8,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09487179632370289,0.7717948751953932,21.802563887490678,0.0,1.0,0.0,260.0,38128.042088904745,77605.5078125,3.7880505630746484
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41009,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.40909091383218765,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15188.02020818537,5934.880859375,38.60889795422554
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41010,10,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.40909091383218765,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15180.941295276989,5847.06689453125,38.70574387907982
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41011,11,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15104.527776544744,5665.76953125,39.1359758079052
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41012,12,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14630.560791015625,4802.06591796875,41.211695343256
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41013,13,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14269.201090494791,4252.03955078125,42.77879375219345
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41014,14,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15136.075517134233,5698.94091796875,38.9304621219635
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41015,15,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09615384764396227,0.8012820531542485,16.930769018141124,0.0,1.0,0.0,260.0,38012.506113844654,77329.4453125,6.999564761295915
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41016,16,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,42.41134627321933,0.0,0.0,0.0,47.0,14439.792012965425,4530.48095703125,42.05445200204849
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41017,17,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14642.949070142664,4873.7158203125,41.15503191947937
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41018,18,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14835.869379340278,5120.84521484375,40.339501798152924
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41019,19,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14834.30949435764,5153.6337890625,40.316281259059906
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41020,20,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,42.41134627321933,0.0,0.0,0.0,47.0,14455.26390043218,4565.2626953125,42.02081775665283
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41021,21,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10384615522164564,0.4641025647521019,50.02179464938549,0.0,1.0,0.0,260.0,35360.42801983173,72884.4296875,-11.23257777094841
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41022,22,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15118.899070046165,5674.06494140625,38.94038823246956
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41023,23,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.0025641026405187756,0.10000000137549181,0.46410256440822895,50.47948695340982,0.0,1.0,0.0,260.0,34718.6749624399,70247.3359375,-10.439453903585672
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41024,24,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14855.699229600694,5194.73876953125,40.29653924703598
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41025,25,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15157.001298384233,5794.91845703125,38.859462171792984
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41026,26,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14635.22709324049,4830.29736328125,41.189620822668076
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41027,27,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,42.41134627321933,0.0,0.0,0.0,47.0,14448.496717087766,4544.35302734375,42.036053001880646
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41028,28,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15104.431074662642,5667.21923828125,39.12256169319153
EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed1/actor_critic_best.pt,checkpoint,41029,29,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14852.388910590278,5182.62109375,40.30141481757164
