epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.1301949189768896,0.4518902237407693,9073,1.0,0
2,1.5793817010190752,0.4878577464271281,9073,1.0,0
3,1.3672334916061826,0.5826077372423675,9073,1.0,0
4,1.223232587178548,0.6039898600242478,9073,1.0,0
5,1.1288015842437744,0.6332341379183658,9073,1.0,0
6,1.0707879496945276,0.6482236672912304,9073,1.0,0
7,1.0301275981797113,0.6634336309195782,9073,1.0,0
8,0.9772838668690788,0.7060141812704361,9073,1.0,0
9,0.906959710849656,0.7416510525735699,9073,1.0,0
10,0.8220136811335882,0.7594694882251368,9073,1.0,0
11,0.7407250569926368,0.7720709798302656,9073,1.0,0
12,0.6754407667451434,0.78037400345347,9073,1.0,0
13,0.6234815269708633,0.7958044013373011,9073,1.0,0
14,0.5776656319697698,0.8107939307101657,9073,1.0,0
15,0.5452808795703782,0.8208604283772365,9073,1.0,0
16,0.5298564318153594,0.8236893346559389,9073,1.0,0
17,0.5157328529490365,0.8254160696572247,9073,1.0,0
18,0.5024463360508283,0.8282082368933465,9073,1.0,0
19,0.5028702691197395,0.827436716999155,9073,1.0,0
20,0.4868725546532207,0.8306697527462434,9073,1.0,0
21,0.4806321710348129,0.8321025754068849,9073,1.0,0
22,0.48085904783672756,0.8318821411514016,9073,1.0,0
23,0.46993669039673275,0.8334986590249458,9073,1.0,0
24,0.4660133951240116,0.836254087218487,9073,1.0,0
25,0.46518286648723817,0.8354090892391345,9073,1.0,0
26,0.45928079303767944,0.8357397406223593,9073,1.0,0
27,0.4577087536454201,0.8361438700907454,9073,1.0,0
28,0.45594902916087043,0.836180609133326,9073,1.0,0
29,0.4498850057522456,0.8380910393475146,9073,1.0,0
30,0.4478075901667277,0.8386421249862228,9073,1.0,0
31,0.45210955871476066,0.8376134317939674,9073,1.0,0
32,0.44206473810805214,0.8397075572210588,9073,1.0,0
33,0.4439142454001639,0.8382747345604173,9073,1.0,0
34,0.43922486321793663,0.8411771189242808,9073,1.0,0
35,0.4350804065664609,0.8398177743488004,9073,1.0,0
36,0.44258885747856563,0.8378706050920313,9073,1.0,0
37,0.43455929309129715,0.8400382086042838,9073,1.0,0
38,0.4373742151591513,0.8395606010507366,9073,1.0,0
39,0.42844022396537995,0.8416914655204085,9073,1.0,0
40,0.42872106035550434,0.842389507329439,9073,1.0,0
41,0.428821818696128,0.840919945626217,9073,1.0,0
42,0.42806150847011143,0.8411771189242808,9073,1.0,0
43,0.43139516396654976,0.8411403798817003,9073,1.0,0
44,0.42629892544613945,0.842793636797825,9073,1.0,0
45,0.4217555166946517,0.8444836327565304,9073,1.0,0
46,0.42610281705856323,0.8417649436055696,9073,1.0,0
47,0.4215961131784651,0.8434916786068555,9073,1.0,0
48,0.42277450611193973,0.8440427642455638,9073,1.0,0
49,0.4201711027158631,0.8444101546713693,9073,1.0,0
50,0.4197303702433904,0.8433814614791139,9073,1.0,0
51,0.4157838200529416,0.8447040670120136,9073,1.0,0
52,0.42243969274891746,0.8425364634997612,9073,1.0,0
53,0.415405821469095,0.8450347183952386,9073,1.0,0
54,0.41419054485029644,0.8440060252029832,9073,1.0,0
55,0.41292662339078057,0.845659282119108,9073,1.0,0
56,0.4123162834180726,0.8454021088210442,9073,1.0,0
57,0.41428494287861717,0.8452551526507219,9073,1.0,0
58,0.41266553931766087,0.8444468937139498,9073,1.0,0
59,0.41416679819424945,0.8445571108416915,9073,1.0,0
60,0.41093892190191483,0.846063411587494,9073,1.0,0
61,0.4085249528288841,0.8464308020132996,9073,1.0,0
62,0.40828390253914726,0.8461736287152357,9073,1.0,0
63,0.40492397795120877,0.8476431904184577,9073,1.0,0
64,0.40462009691529804,0.846798192439105,9073,1.0,0
65,0.40683232413397896,0.8465777581836217,9073,1.0,0
66,0.40627047916253406,0.8470553657371689,9073,1.0,0
67,0.4072111298640569,0.8473125390352327,9073,1.0,0
68,0.407487825387054,0.846798192439105,9073,1.0,0
69,0.4017901461985376,0.8485249274403909,9073,1.0,0
70,0.4005890621079339,0.8488923178661965,9073,1.0,0
71,0.39946262704001534,0.8494434035049047,9073,1.0,0
72,0.40326653007004,0.8472023219074911,9073,1.0,0
73,0.40173878769079846,0.8479371027591021,9073,1.0,0
74,0.40018969194756615,0.8479003637165216,9073,1.0,0
75,0.40063297417428756,0.8478268856313604,9073,1.0,0
76,0.400913268327713,0.8490025349939381,9073,1.0,0
77,0.3979533753461308,0.8491862302068408,9073,1.0,0
78,0.39558952218956417,0.8494801425474852,9073,1.0,0
79,0.4001493412587378,0.8493699254197435,9073,1.0,0
80,0.39237449566523236,0.8508762261655461,9073,1.0,0
