epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,3.21539169549942,0.059295748950921365,1827,1.0,1
2,3.037326395511627,0.16584564860426929,1827,1.0,1
3,2.8704873621463776,0.1412151067323481,1827,1.0,1
4,2.733341723680496,0.37566137566137564,1827,1.0,1
5,2.586019366979599,0.3665389527458493,1827,1.0,1
6,2.522074043750763,0.4654260171501551,1827,1.0,1
7,2.4487613439559937,0.4041233351578179,1827,1.0,1
8,2.3862171173095703,0.4634190841087393,1827,1.0,1
9,2.3108842074871063,0.44590403211092866,1827,1.0,1
10,2.2540922462940216,0.42930122240467067,1827,1.0,1
