update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,2.066832959651947,-0.003036463031700798,4.1404759883880615,0.3685438632965088,0.0,0.0,0.24461370706558228,1.0,0.0,0.0,47.4,4418.564306640625,nan
2,1.8760111033916473,-0.0020475711983944933,3.756950080394745,0.4163907766342163,0.0,0.0,0.26904186606407166,,,,,,
3,2.180160880088806,-0.0006665394272804548,4.3625428676605225,0.4439856708049774,0.0,0.0,0.31479549407958984,,,,,,
4,1.8597231209278107,-0.0009907716230372898,3.7221559286117554,0.3641008660197258,0.0,0.0,0.2539501488208771,,,,,,
5,2.2429226636886597,-0.0009417244121614488,4.4885958433151245,0.43361400067806244,0.0,0.0,0.3104831874370575,,,,,,
6,1.8530252277851105,-0.0007328624681885998,3.7082521319389343,0.368002213537693,0.0,0.0,0.25708961486816406,,,,,,
7,1.9548421204090118,-0.001067190152145514,3.912562906742096,0.37216944992542267,0.0,0.0,0.28340399265289307,,,,,,
8,1.9194649159908295,-0.0008615591359557584,3.841460406780243,0.4037259742617607,0.0,0.0,0.29300662875175476,,,,,,
9,1.8685181736946106,-0.0002172511546341127,3.738254189491272,0.39168883860111237,0.0,0.0,0.2636718451976776,,,,,,
10,2.225807785987854,-0.0011230261346391046,4.454818487167358,0.47833381593227386,0.0,0.0,0.32363831996917725,1.0,0.0,0.0,46.6,4592.048046875,nan
