update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,2.232457220554352,-0.0015483046881854534,4.4688098430633545,0.39939605444669724,0.0,0.0,0.24043041467666626,0.8,0.0,0.2,89.6,18889.110205078126,nan
2,1.8781619668006897,-0.0014003974404959152,3.760032832622528,0.4540654420852661,0.0,0.0,0.22942180931568146,,,,,,
3,2.2280091047286987,-0.0005479701794683933,4.458098769187927,0.49236714094877243,0.0,0.0,0.20977866649627686,,,,,,
4,1.797297716140747,-0.0002850379466199371,3.5960017442703247,0.4181106835603714,0.0,0.0,0.15852244198322296,,,,,,
5,1.860135793685913,-0.0006133127099019475,3.7225441336631775,0.5229751020669937,0.0,0.0,0.218280628323555,,,,,,
6,2.172254204750061,-0.00032528296014788793,4.346091628074646,0.4663468301296234,0.0,0.0,0.26376715302467346,,,,,,
7,1.806487113237381,-0.00026898855139734223,3.614482581615448,0.4851924404501915,0.0,0.0,0.18413560092449188,,,,,,
8,2.144122302532196,-0.0003934710596995572,4.290048241615295,0.508413165807724,0.0,0.0,0.1969580203294754,,,,,,
9,1.703307569026947,-0.0007478157785953954,3.409001410007477,0.44530194997787476,0.0,0.0,0.17801417410373688,,,,,,
10,2.154820144176483,-0.0012933375789216939,4.313023686408997,0.3984513059258461,0.0,0.0,0.27637311816215515,0.8,0.0,0.2,89.0,18723.878515625,nan
