train_seed,metric,label,unit,n_matched_episodes,no_graph,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.25,1,0.75
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.25,1,0.75
0,timeout,Timeout,rate,20,0.7,0,-0.7
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,156.45,6.2,-150.25
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.238598492,1,0.761401508
0,connectivity_during_failure,Connectivity during failure,rate,20,0.1717081566,0.4325508835,0.2608427269
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.03886904762,0.1488263126,0.109957265
0,steps,Episode length,steps,20,196.45,46.2,-150.25
1,success,Task success,rate,20,0.8,0.85,0.05
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.8,0.85,0.05
1,timeout,Timeout,rate,20,0.2,0.15,-0.05
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,48.5,37.9,-10.6
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.5204464441,0.8720833338,0.3516368897
1,connectivity_during_failure,Connectivity during failure,rate,20,0.3637797689,0.4166050469,0.05282527795
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1253571429,0.1327200577,0.007362914863
1,steps,Episode length,steps,20,88.5,77.9,-10.6
2,success,Task success,rate,20,0.05,1,0.95
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.05,1,0.95
2,timeout,Timeout,rate,20,0.95,0,-0.95
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,209.35,6,-203.35
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.02416666739,1,0.9758333326
2,connectivity_during_failure,Connectivity during failure,rate,20,0.0839583353,0.4347090031,0.3507506678
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.00625,0.1520634921,0.1458134921
2,steps,Episode length,steps,20,249.35,46,-203.35
