train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.6,1,0.4
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.6,1,0.4
0,timeout,Timeout,rate,20,0.4,0,-0.4
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,90.7,6.05,-84.65
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.6637500009,1,0.3362499991
0,connectivity_during_failure,Connectivity during failure,rate,20,0.2876636976,0.3352612498,0.04759755215
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1104761905,0.1519246032,0.0414484127
0,steps,Episode length,steps,20,130.7,46.05,-84.65
1,success,Task success,rate,20,0.75,0.95,0.2
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.75,0.95,0.2
1,timeout,Timeout,rate,20,0.2,0.05,-0.15
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,48.35,16.15,-32.2
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.8211805567,0.9581250001,0.1369444434
1,connectivity_during_failure,Connectivity during failure,rate,20,0.3170883003,0.3277397545,0.01065145417
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1313095238,0.1562301587,0.02492063492
1,steps,Episode length,steps,20,88.35,56.15,-32.2
2,success,Task success,rate,20,0.95,1,0.05
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,1,0.05
2,timeout,Timeout,rate,20,0.05,0,-0.05
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,15.85,5.6,-10.25
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.9577083334,1,0.04229166657
2,connectivity_during_failure,Connectivity during failure,rate,20,0.331884927,0.3312896895,-0.0005952374279
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1591071429,0.1562698413,-0.002837301587
2,steps,Episode length,steps,20,55.85,45.6,-10.25
