train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,1,1,0
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,1,1,0
0,timeout,Timeout,rate,20,0,0,0
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,5.35,5.5,0.15
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.8837500058,0.9020707128,0.01832070699
0,connectivity_during_failure,Connectivity during failure,rate,20,0.442671966,0.4421717255,-0.0005002404928
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1640079365,0.1632575758,-0.0007503607504
0,steps,Episode length,steps,20,45.35,45.5,0.15
1,success,Task success,rate,20,0.95,0.8,-0.15
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,0.8,-0.15
1,timeout,Timeout,rate,20,0.05,0.2,0.15
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,16.15,48.55,32.4
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.8422982863,0.7454298991,-0.09686838724
1,connectivity_during_failure,Connectivity during failure,rate,20,0.4368187915,0.4128869132,-0.02393187822
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1546031746,0.1258928571,-0.02871031746
1,steps,Episode length,steps,20,56.15,88.55,32.4
2,success,Task success,rate,20,0.9,1,0.1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.9,1,0.1
2,timeout,Timeout,rate,20,0.1,0,-0.1
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,27.15,6.4,-20.75
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.8249504015,0.8878415162,0.06289111468
2,connectivity_during_failure,Connectivity during failure,rate,20,0.4245866486,0.42899592,0.004409271358
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1403174603,0.1434938672,0.003176406926
2,steps,Episode length,steps,20,67.15,46.4,-20.75
