train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.95,1,0.05
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,1,0.05
0,timeout,Timeout,rate,20,0.05,0,-0.05
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,15.8,5.6,-10.2
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.953541667,0.9981481483,0.04460648124
0,connectivity_during_failure,Connectivity during failure,rate,20,0.2786607177,0.1919576728,-0.08670304489
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1633928571,0.1632539683,-0.0001388888889
0,steps,Episode length,steps,20,55.8,45.6,-10.2
1,success,Task success,rate,20,1,0.95,-0.05
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,1,0.95,-0.05
1,timeout,Timeout,rate,20,0,0.05,0.05
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,5.55,16.6,11.05
1,tracking_during_failure_rate,Tracking during failure,rate,20,1,0.9589583335,-0.04104166655
1,connectivity_during_failure,Connectivity during failure,rate,20,0.4145701134,0.1992228851,-0.2153472283
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1599801587,0.146984127,-0.01299603175
1,steps,Episode length,steps,20,45.55,56.6,11.05
2,success,Task success,rate,20,0.95,1,0.05
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,1,0.05
2,timeout,Timeout,rate,20,0.05,0,-0.05
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,16.3,6.5,-9.8
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.9572916668,1,0.04270833325
2,connectivity_during_failure,Connectivity during failure,rate,20,0.4319477597,0.1984253264,-0.2335224333
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.150734127,0.1409361472,-0.009797979798
2,steps,Episode length,steps,20,56.3,46.5,-9.8
