update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.9089000523090363,-0.0021459405058218417,1.822518140077591,0.2130921371281147,0.0,0.0,0.18093430995941162,1.0,0.0,0.0,47.6,4489.69296875,nan
2,0.8380355983972549,-0.005358051431054278,1.6876660287380219,0.43936414271593094,0.0,0.0,0.30038097500801086,1.0,0.0,0.0,45.6,5241.34775390625,nan
3,1.8796355724334717,-0.002185209469946159,3.764607608318329,0.4830724149942398,0.0,0.0,0.3271067440509796,,,,,,
4,1.1845456659793854,-0.0017092582468949402,2.3730918765068054,0.2909991890192032,0.0,0.0,0.20212310552597046,1.0,0.0,0.0,46.2,4999.309619140625,nan
5,0.604222908616066,-0.0016800219309516251,1.212522566318512,0.3583483174443245,0.0,0.0,0.28432783484458923,,,,,,
6,1.4625496864318848,-0.0002935701074116004,2.926566481590271,0.43997878581285477,0.0,0.0,0.32041168212890625,1.0,0.0,0.0,46.4,4907.424169921875,nan
7,1.6563615202903748,-0.0011035054728077975,3.3155224323272705,0.29617688059806824,0.0,0.0,0.2373233586549759,,,,,,
8,0.6781398802995682,-0.0023566585150547326,1.3617053627967834,0.35612139105796814,0.0,0.0,0.2664773166179657,1.0,0.0,0.0,47.4,4559.798486328125,nan
9,0.9134728312492371,-0.0002647141597353908,1.8282491564750671,0.3870365619659424,0.0,0.0,0.3045341372489929,,,,,,
10,1.7699987590312958,-0.0009402101835194188,3.542702317237854,0.41217442601919174,0.0,0.0,0.2949441373348236,1.0,0.0,0.0,46.8,4666.93505859375,nan
