update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.0237783789634705,-0.0014320011299169266,2.0516833662986755,0.6313360929489136,0.0,0.0,0.18687568604946136,0.8,0.0,0.2,89.6,16728.417578125,nan
2,0.27833937108516693,-0.0013702863943763077,0.5612396597862244,0.9101748168468475,0.0,0.0,0.13180232048034668,1.0,0.0,0.0,45.2,6500.8009765625,nan
3,0.17311274632811546,-0.0013636764924740419,0.3508065268397331,0.9268395900726318,0.0,0.0,-0.07712236791849136,,,,,,
4,0.12815982103347778,-0.001384327513127559,0.26142405718564987,1.167878419160843,0.0,0.0,-0.07670991122722626,1.0,0.0,0.0,45.8,6520.41513671875,nan
5,0.1922219693660736,-0.00034331841031054466,0.3872661590576172,1.0677860081195831,0.0,0.0,-0.09367511421442032,,,,,,
6,0.2698243781924248,-0.00017776324966689572,0.5416560918092728,0.8258887529373169,0.0,0.0,-0.1088656485080719,0.8,0.0,0.2,89.0,16351.24658203125,nan
7,0.25300370529294014,-0.00025542887518348323,0.5080209225416183,0.7513339668512344,0.0,0.0,-0.10478731244802475,,,,,,
8,0.1005869209766388,-0.0009043381117717075,0.20437276735901833,0.6951266676187515,0.0,0.0,-0.06820052117109299,1.0,0.0,0.0,46.4,6526.154296875,nan
9,0.6322833448648453,-0.0008465760329272598,1.2675503492355347,0.6452371627092361,0.0,0.0,0.14194099605083466,,,,,,
10,0.873985156416893,-0.0005981971844448708,1.7510742247104645,0.9537514895200729,0.0,0.0,0.19669711589813232,1.0,0.0,0.0,46.0,6518.10439453125,nan
