update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.0276569724082947,-0.00451702069646398,2.065056622028351,0.3542848080396652,0.0,0.0,0.18751899898052216,1.0,0.0,0.0,46.8,4595.84208984375,nan
2,1.2550946772098541,-0.0013532020821003243,2.513871133327484,0.48773469775915146,0.0,0.0,0.3110361397266388,1.0,0.0,0.0,45.6,5006.975048828125,nan
3,2.522221565246582,-4.188980483377236e-05,5.045472145080566,0.4725562036037445,0.0,0.0,0.3418024778366089,,,,,,
4,1.393781065940857,-0.0021193341478165095,2.7926358580589294,0.4175351858139038,0.0,0.0,0.21647723019123077,1.0,0.0,0.0,46.2,4769.128759765625,nan
5,0.9043818712234497,-0.0013431981157410178,1.8124271929264069,0.48852289468050003,0.0,0.0,0.29674673080444336,,,,,,
6,1.883864939212799,-0.001456172794860322,3.7715103030204773,0.43404722213745117,0.0,0.0,0.3264022469520569,0.8,0.0,0.2,88.2,15635.00126953125,nan
7,1.9006387889385223,3.3379842228953294e-05,3.80193430185318,0.36176057904958725,0.0,0.0,0.24985240399837494,,,,,,
8,0.8526270091533661,-0.0006765274592552828,1.7074677348136902,0.430351197719574,0.0,0.0,0.2669655978679657,0.8,0.0,0.2,88.8,14149.33154296875,nan
9,1.3486228585243225,-0.0003714167117632172,2.6989404559135437,0.47594332695007324,0.0,0.0,0.31605201959609985,,,,,,
10,2.4796470403671265,-0.0008844279121458243,4.961974620819092,0.4558384120464325,0.0,0.0,0.3115650713443756,1.0,0.0,0.0,46.4,4635.928515625,nan
