train_seed,metric,label,unit,n_matched_episodes,no_graph,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0,0.95,0.95
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,0.95,0.95
0,timeout,Timeout,rate,20,1,0.05,-0.95
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,220,17.05,-202.95
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.01270833371,0.9583333335,0.9456249998
0,connectivity_during_failure,Connectivity during failure,rate,20,0.04666666785,0.3281398876,0.2814732197
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.1367857143,0.1367857143
0,steps,Episode length,steps,20,260,57.05,-202.95
1,success,Task success,rate,20,0.75,0.9,0.15
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.75,0.9,0.15
1,timeout,Timeout,rate,20,0.25,0.1,-0.15
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,58.8,26.95,-31.85
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.5051488246,0.9152083337,0.4100595091
1,connectivity_during_failure,Connectivity during failure,rate,20,0.2586259973,0.3081448484,0.04951885105
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1277380952,0.1438293651,0.01609126984
1,steps,Episode length,steps,20,98.8,66.95,-31.85
2,success,Task success,rate,20,0,1,1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,1,1
2,timeout,Timeout,rate,20,1,0,-1
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,220,5.45,-214.55
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.002500000075,1,0.9974999999
2,connectivity_during_failure,Connectivity during failure,rate,20,0.04416666776,0.3196230226,0.2754563548
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.1601984127,0.1601984127
2,steps,Episode length,steps,20,260,45.45,-214.55
