train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.8,1,0.2
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.8,1,0.2
0,timeout,Timeout,rate,20,0.2,0,-0.2
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,48.45,6.45,-42
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.8325000006,1,0.1674999994
0,connectivity_during_failure,Connectivity during failure,rate,20,0.3031481544,0.3187987082,0.01565055379
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1259126984,0.1438329726,0.01792027417
0,steps,Episode length,steps,20,88.45,46.45,-42
1,success,Task success,rate,20,0.85,0.9,0.05
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.85,0.9,0.05
1,timeout,Timeout,rate,20,0.15,0.1,-0.05
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,37.75,27.1,-10.65
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.8733333337,0.9160416669,0.04270833325
1,connectivity_during_failure,Connectivity during failure,rate,20,0.3034275861,0.3227017262,0.01927414015
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1328571429,0.1409126984,0.008055555556
1,steps,Episode length,steps,20,77.75,67.1,-10.65
2,success,Task success,rate,20,1,1,0
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,1,1,0
2,timeout,Timeout,rate,20,0,0,0
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,5.2,5.6,0.4
2,tracking_during_failure_rate,Tracking during failure,rate,20,1,1,0
2,connectivity_during_failure,Connectivity during failure,rate,20,0.3456646889,0.3297090009,-0.01595568794
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1651785714,0.1572420635,-0.007936507937
2,steps,Episode length,steps,20,45.2,45.6,0.4
