train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.7,1,0.3
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.7,1,0.3
0,timeout,Timeout,rate,20,0.3,0,-0.3
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,69.7,6.7,-63
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.7460416676,0.9988095239,0.2527678563
0,connectivity_during_failure,Connectivity during failure,rate,20,0.3052629035,0.3318431403,0.02658023674
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1144047619,0.1385732323,0.02416847042
0,steps,Episode length,steps,20,109.7,46.7,-63
1,success,Task success,rate,20,0.7,0.85,0.15
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.7,0.85,0.15
1,timeout,Timeout,rate,20,0.3,0.15,-0.15
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,69.75,38.05,-31.7
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.7443750009,0.8712500006,0.1268749997
1,connectivity_during_failure,Connectivity during failure,rate,20,0.2976041734,0.3152957182,0.01769154479
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1132142857,0.130254884,0.01704059829
1,steps,Episode length,steps,20,109.75,78.05,-31.7
2,success,Task success,rate,20,0.95,1,0.05
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,1,0.05
2,timeout,Timeout,rate,20,0.05,0,-0.05
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,16.15,5.8,-10.35
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.9579166668,1,0.04208333315
2,connectivity_during_failure,Connectivity during failure,rate,20,0.3314484203,0.3020226135,-0.02942580685
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1527380952,0.1536724387,0.0009343434343
2,steps,Episode length,steps,20,56.15,45.8,-10.35
