update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.9341414570808411,-0.006677135087862496,1.88224458694458,0.30368802696466446,0.0,0.0,0.17882640659809113,1.0,0.0,0.0,47.4,4437.972265625,nan
2,1.2326017320156097,-0.0034939937953216704,2.473133862018585,0.4711926206946373,0.0,0.0,0.315203994512558,1.0,0.0,0.0,45.6,5116.214306640625,nan
3,2.353436231613159,0.00042659542911493986,4.70684540271759,0.413151316344738,0.0,0.0,0.3367088735103607,,,,,,
4,1.198070079088211,-0.0004289777377076698,2.397709906101227,0.3558907210826874,0.0,0.0,0.20160488784313202,1.0,0.0,0.0,46.2,4873.987646484375,nan
5,0.8821383714675903,-0.001928692072397098,1.7689895033836365,0.427699476480484,0.0,0.0,0.2963067591190338,,,,,,
6,1.8587548434734344,-0.002330904166835346,3.723019301891327,0.4238936975598335,0.0,0.0,0.32629191875457764,1.0,0.0,0.0,46.6,4723.250390625,nan
7,1.3931819200515747,-0.002131911795004271,2.7912837862968445,0.3280497118830681,0.0,0.0,0.21846912801265717,,,,,,
8,0.7763193100690842,-0.0013354597661727752,1.5561448335647583,0.41763123124837875,0.0,0.0,0.29178252816200256,1.0,0.0,0.0,47.8,4346.931396484375,nan
9,1.7561664283275604,-0.0003604971110071631,3.5139229893684387,0.43451960384845734,0.0,0.0,0.32535460591316223,,,,,,
10,1.4171474277973175,-0.0009707040444482118,2.836903929710388,0.33380720019340515,0.0,0.0,0.22331614792346954,1.0,0.0,0.0,46.8,4589.4595703125,nan
