update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.0550071001052856,-0.001485797285567969,2.114185869693756,0.6000683456659317,0.0,0.0,0.18572251498699188,0.2,0.0,0.8,217.2,32991.569921875,nan
2,0.2878849282860756,-0.0017317021265625954,0.5808204710483551,0.7935968190431595,0.0,0.0,0.11975457519292831,0.6,0.0,0.4,130.8,22036.85927734375,nan
3,0.04624465759843588,-0.002272970654303208,0.09855536371469498,0.7600545883178711,0.0,0.0,-0.03872570022940636,,,,,,
4,0.07138770259916782,-0.0007023243282056058,0.14616641029715538,0.9931781738996506,0.0,0.0,-0.05341541767120361,0.4,0.0,0.6,188.2,27826.23349609375,nan
5,0.17454230412840843,-0.0002436243642804925,0.35152267664670944,0.9754117131233215,0.0,0.0,-0.08266077190637589,,,,,,
6,0.2570805922150612,-0.0005383053806635729,0.5166151970624924,0.6887091398239136,0.0,0.0,-0.10133103281259537,0.2,0.0,0.8,217.0,35599.81201171875,nan
7,0.20361161977052689,-0.001026409663609229,0.41029877215623856,0.5113535821437836,0.0,0.0,-0.08757030963897705,,,,,,
8,0.08011097460985184,-0.00016734997977163601,0.16181696206331253,0.6301602870225906,0.0,0.0,-0.05220605432987213,0.6,0.0,0.4,131.4,18965.67001953125,nan
9,0.7264659553766251,-0.0002789500425315339,1.4547374546527863,0.6238172352313995,0.0,0.0,0.1566668450832367,,,,,,
10,0.7115910798311234,-0.00026681274296880275,1.4253807365894318,0.832472413778305,0.0,0.0,0.17467738687992096,0.6,0.0,0.4,131.4,19475.192578125,nan
