scenario,graph_encoder,train_method,train_seed,strict_target_sensing,method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
relay_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14927.877680121528,5331.72314453125,39.254812836647034
relay_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14870.46882595486,5255.88232421875,39.47389751672745
relay_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96002,2,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,0.9130434795566227,43.637679889150284,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,1.0,0.42857143708637785,14650.994862432066,4861.869140625,40.35674503445625
relay_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96003,3,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14880.39130859375,5297.76611328125,39.526755541563034
relay_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96004,4,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.9007092213377039,42.80850939167307,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,1.0,0.4166666753590107,14483.895331200132,4540.27880859375,41.0054629445076
scout_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14927.877680121528,5331.72314453125,39.25483024120331
scout_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14870.46882595486,5255.88232421875,39.473861277103424
scout_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96002,2,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,0.9130434795566227,43.637679889150284,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,1.0,0.42857143708637785,14650.994862432066,4861.869140625,40.35674503445625
scout_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96003,3,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,44.51851722002029,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14880.197526041668,5293.25341796875,39.53012391924858
scout_failure,single,bc_ppo,0,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed0/actor_critic_best.pt,checkpoint,96004,4,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.9007092213377039,42.80850939167307,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,1.0,0.4166666753590107,14483.895331200132,4540.27880859375,41.0054629445076
relay_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14907.893381076388,5245.11083984375,39.61044263839722
relay_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14854.1205078125,5197.197265625,39.609314292669296
relay_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96002,2,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,0.9130434795566227,41.75362197342126,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,1.0,0.42857143708637785,14638.605776579483,4811.896484375,40.486094295978546
relay_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96003,3,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14865.571766493056,5223.11962890625,39.67495948076248
relay_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96004,4,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.9007092213377039,40.96453781457657,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,1.0,0.4166666753590107,14473.170628324468,4488.95068359375,41.13600105047226
scout_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14907.46396484375,5235.9970703125,39.617178082466125
scout_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14853.935427517361,5192.82568359375,39.612565487623215
scout_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96002,2,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,0.9130434795566227,41.75362197342126,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,1.0,0.42857143708637785,14638.343537703804,4802.1982421875,40.49341881275177
scout_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96003,3,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14865.84421657986,5226.7568359375,39.672323405742645
scout_failure,single,bc_ppo,1,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed1/actor_critic_best.pt,checkpoint,96004,4,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.9007092213377039,40.96453781457657,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,1.0,0.4166666753590107,14472.873244265293,4476.62353515625,41.14527642726898
relay_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,38.74073961178462,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14893.296701388888,5197.8681640625,39.82546401023865
relay_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,38.74073961178462,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14841.653266059027,5147.77490234375,39.82809120416641
relay_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96002,2,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,0.9130434795566227,37.985506141963214,0.0,0.0,0.0,46.0,43.0,46.0,1.0,6.0,0.14285714285714285,1.0,0.42857143708637785,14630.459738026495,4765.28857421875,40.702237010002136
relay_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96003,3,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,38.74073961178462,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14855.703081597223,5175.69091796875,39.891615241765976
relay_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96004,4,5,straight,1.0,0.0,0,0.0,1,40,80,none,none,none,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.9007092213377039,37.27659466038359,0.0,0.0,0.0,47.0,44.0,47.0,1.0,7.0,0.125,1.0,0.4166666753590107,14467.340778756648,4447.89306640625,41.3484103679657
scout_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96000,0,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,38.74073961178462,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14892.984027777778,5190.3564453125,39.83105957508087
scout_failure,single,bc_ppo,2,1,EA-RG-MAPPO-S,results/intercept_3d_node_failure_curriculum_pilot_seed0/runs/single/bc_ppo_seed2/actor_critic_best.pt,checkpoint,96001,1,5,straight,1.0,0.0,0,0.0,0,40,80,none,none,none,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,38.74073961178462,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,0.16666666666666666,1.0,0.4444444527228673,14841.795279947917,5151.12353515625,39.82569593191147
