train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,100,0.9,1,0.1
0,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.9,1,0.1
0,timeout,Timeout,rate,100,0.1,0,-0.1
0,capped_recovery_steps,Restricted mean recovery steps,steps,100,26.93,5.52,-21.41
0,tracking_during_failure_rate,Tracking during failure,rate,100,0.9140555559,1,0.0859444441
0,connectivity_during_failure,Connectivity during failure,rate,100,0.4277711724,0.4394867808,0.0117156084
0,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.144031746,0.1592301587,0.0151984127
0,steps,Episode length,steps,100,66.93,45.52,-21.41
1,success,Task success,rate,100,0.88,1,0.12
1,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.88,1,0.12
1,timeout,Timeout,rate,100,0.12,0,-0.12
1,capped_recovery_steps,Restricted mean recovery steps,steps,100,31.17,5.26,-25.91
1,tracking_during_failure_rate,Tracking during failure,rate,100,0.89800463,1,0.10199537
1,connectivity_during_failure,Connectivity during failure,rate,100,0.4249193206,0.4422169395,0.01729761896
1,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1417539683,0.1633253968,0.02157142857
1,steps,Episode length,steps,100,71.17,45.26,-25.91
2,success,Task success,rate,100,1,1,0
2,post_failure_chain_recovered,Post-failure chain recovered,rate,100,1,1,0
2,timeout,Timeout,rate,100,0,0,0
2,capped_recovery_steps,Restricted mean recovery steps,steps,100,5.26,5.52,0.26
2,tracking_during_failure_rate,Tracking during failure,rate,100,0.9994444445,1,0.0005555555224
2,connectivity_during_failure,Connectivity during failure,rate,100,0.4421296379,0.439124347,-0.003005290961
2,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1631944444,0.1586865079,-0.004507936508
2,steps,Episode length,steps,100,45.26,45.52,0.26
