update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,2.191342055797577,-0.00293529165598283,4.389358639717102,0.4019618332386017,0.0,0.0,0.23203878104686737,1.0,0.0,0.0,47.0,4556.59287109375,nan
2,1.968611240386963,-0.0025492354955822805,3.94311785697937,0.3984529599547386,0.0,0.0,0.2538094222545624,,,,,,
3,2.4630605578422546,-0.0002335968122979537,4.927533268928528,0.4724164456129074,0.0,0.0,0.30343499779701233,,,,,,
4,1.9703816175460815,-0.0005737387909903191,3.9426085352897644,0.34889308363199234,0.0,0.0,0.2430601716041565,,,,,,
5,2.4535579085350037,-0.0013980311390113798,4.9107877016067505,0.4379061087965965,0.0,0.0,0.29790735244750977,,,,,,
6,1.9592178463935852,-0.0002388464478535468,3.9196165800094604,0.35159865766763687,0.0,0.0,0.24270065128803253,,,,,,
7,2.0146387219429016,-0.000703877849446144,4.031392812728882,0.35382385551929474,0.0,0.0,0.2639670670032501,,,,,,
8,1.941042184829712,-0.0004879582265857607,3.8838030099868774,0.37134651839733124,0.0,0.0,0.2690310776233673,,,,,,
9,1.974571317434311,-0.0007007092596420517,3.9512572288513184,0.3566114231944084,0.0,0.0,0.2552487850189209,,,,,,
10,2.4000675082206726,-0.0002814275624890561,4.801547408103943,0.4247792512178421,0.0,0.0,0.3059946596622467,1.0,0.0,0.0,46.8,4664.321484375,nan
11,1.6561815440654755,-0.0005337601348096577,3.314159631729126,0.36451807618141174,0.0,0.0,0.20788608491420746,,,,,,
12,1.737609088420868,-0.0015305851411540061,3.4790270924568176,0.3738589957356453,0.0,0.0,0.17216365039348602,,,,,,
13,1.8114148080348969,-0.0007377725002395419,3.624946892261505,0.32087357342243195,0.0,0.0,0.16803395748138428,,,,,,
14,1.4659292697906494,-0.001010382329695858,2.934755265712738,0.43797870725393295,0.0,0.0,0.1511792689561844,,,,,,
15,2.1250749230384827,-0.0011599594872677699,4.253338932991028,0.43454694747924805,0.0,0.0,0.2779674232006073,,,,,,
16,1.7001287341117859,-0.0006949599774088711,3.402404308319092,0.37842725217342377,0.0,0.0,0.22974932193756104,,,,,,
17,1.936636507511139,-0.00041180578409694135,3.8749333024024963,0.41835469752550125,0.0,0.0,0.27924612164497375,,,,,,
18,1.7925015687942505,-0.0007014383396999335,3.5872933864593506,0.44364793598651886,0.0,0.0,0.2565262019634247,,,,,,
19,1.6956472098827362,-0.0005549091814218698,3.3933138847351074,0.4548519030213356,0.0,0.0,0.2485700100660324,,,,,,
20,1.70418581366539,-0.0005084895395461864,3.410197913646698,0.4046277478337288,0.0,0.0,0.27611950039863586,1.0,0.0,0.0,45.8,5065.76142578125,nan
