scenario,graph_encoder,train_method,train_seed,method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
nominal,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14853.18986545139,5192.931640625,40.290495693683624
nominal,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15106.415693803267,5713.25927734375,39.09142452478409
nominal,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14278.808705647787,4315.26513671875,42.732748597860336
nominal,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14644.868280825407,4885.525390625,41.13785499334335
nominal,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,47.94326100450881,0.0,0.0,0.0,47.0,14505.090165807846,4681.08935546875,41.573932856321335
range_075,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,0.75,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,77.03703477647569,0.0,0.0,0.0,45.0,14853.306846788195,5193.19482421875,38.669690668582916
range_075,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,0.75,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,86.66666412353516,0.0,0.0,0.0,44.0,15106.742209694603,5719.873046875,37.2862086892128
range_075,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,0.75,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,77.63888661066692,0.0,0.0,0.0,48.0,14278.73930867513,4315.1640625,40.93392291665077
range_075,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,0.75,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,81.01449037634808,0.0,0.0,0.0,46.0,14645.007674507473,4885.86669921875,39.33705359697342
range_075,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,0.75,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,86.66666412353516,0.0,0.0,0.0,47.0,14504.442704870346,4672.974609375,39.69006708264351
range_050,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,0.5,0.0,0,0.0,-1,0,0,True,0.0,0.0,1.0,0.005128205281037551,0.10641025809141305,0.14743589873497304,158.1128198476938,0.0,1.0,0.0,260.0,38348.929204852764,83171.1328125,-45.9455706179142
range_050,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,0.5,0.0,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.022222222884496053,254.22222188313802,0.0,0.0,0.0,45.0,14927.741341145833,5493.96044921875,29.20438902080059
range_050,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,0.5,0.0,0,0.0,-1,0,0,True,0.0,0.0,0.0,0.0,0.09615384787321091,0.1858974371965115,154.78974274855395,0.0,1.0,0.0,260.0,38796.01941950872,83856.6875,-48.2434721365571
range_050,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,0.5,0.0,0,0.0,-1,0,0,True,0.0,0.0,0.0,0.0,0.1025641042452592,0.13205128335035765,159.36666600153995,0.0,1.0,0.0,260.0,38308.36560621995,83030.390625,-49.84119389951229
range_050,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,0.5,0.0,0,0.0,-1,0,0,True,0.0,0.0,0.0,0.0,0.1038461555655186,0.10384615522164564,161.7705122727614,0.0,1.0,0.0,260.0,37695.89316875751,81657.21875,-49.98518745973706
dropout_015,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.15,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.8851851903729968,43.47777766684691,0.0,0.0,0.0,45.0,14853.18302951389,5192.931640625,39.25248521566391
dropout_015,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.15,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,0.8750000060959295,47.412878442555666,0.0,0.0,0.0,44.0,15106.302423650568,5712.98681640625,37.98863634467125
dropout_015,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.15,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,0.8784722282240788,41.6840279387931,0.0,0.0,0.0,48.0,14279.05073038737,4318.14208984375,41.55854257941246
dropout_015,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.15,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,0.8936170247641015,48.0531910039643,0.0,0.0,0.0,47.0,14459.794194647606,4665.42138671875,40.66593098640442
dropout_015,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.15,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.8475177370487376,48.08865248427746,0.0,0.0,0.0,47.0,14505.090165807846,4681.08935546875,40.13642990589142
dropout_030,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.3,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.7370370441012912,47.55185202128357,0.0,0.0,0.0,45.0,14867.196907552083,5278.646484375,37.66775241494179
dropout_030,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.3,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.6814814888768725,55.251851796441606,0.0,0.0,0.0,45.0,14907.957280815972,5416.3349609375,36.717590272426605
dropout_030,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.3,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,0.7743055637304982,42.72916685448339,0.0,0.0,0.0,48.0,14279.004791259766,4317.01416015625,40.50490936636925
