step,comm_radius,nodes,team_edges,enemy_edges,total_edges,min_range,max_range,nan_count,inf_count
0,2000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,4000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,8000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
0,12000.0,4,4,8,16,0.12599603831768036,0.272855281829834,0,0
1,2000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,4000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,8000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
1,12000.0,4,4,8,16,0.12535318732261658,0.2642765939235687,0,0
2,2000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,4000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,8000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
2,12000.0,4,4,8,16,0.12471044808626175,0.25574201345443726,0,0
3,2000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,4000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,8000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
3,12000.0,4,4,8,16,0.1240677759051323,0.24725612998008728,0,0
4,2000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,4000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,8000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
4,12000.0,4,4,8,16,0.12342519313097,0.23882406949996948,0,0
