kind,item,status,detail
path_or_import,LAG root,present,directory: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG
path_or_import,README,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\README.md
path_or_import,git submodule manifest,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\.gitmodules
path_or_import,MultipleCombat env,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\envs\multiplecombat_env.py
path_or_import,MultipleCombat task,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\tasks\multiplecombat_task.py
path_or_import,Base env,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\envs\env_base.py
path_or_import,JSBSim simulator wrapper,present,file: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\core\simulatior.py
path_or_import,JSBSim data submodule,missing,not found: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\data
path_or_import,LAG model directory,present,directory: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\model
path_or_import,LAG configs,present,directory: C:\Users\96251\Documents\Codex\2026-07-12\ni\work\LAG\envs\JSBSim\configs
path_or_import,import config,ok,module imported without instantiating JSBSim env
path_or_import,import envs.JSBSim.envs.multiplecombat_env,failed,ModuleNotFoundError: No module named 'envs.JSBSim.human_task'
path_or_import,import envs.JSBSim.tasks.multiplecombat_task,ok,module imported without instantiating JSBSim env
metadata,task_class,observed,MultipleCombatTask
metadata,action_space_line,observed,"self.action_space = spaces.MultiDiscrete([41, 41, 41, 30])"
metadata,obs_length_line,observed,self.obs_length = 9 + (self.num_agents - 1) * 6
metadata,share_obs_line,observed,"self.share_observation_space = spaces.Box(low=-10, high=10., shape=(self.num_agents * self.obs_length,))"
metadata,reward_classes,observed,"AltitudeReward, EventDrivenReward, MissilePostureReward, PostureReward"
metadata,termination_classes,observed,"ExtremeState, LowAltitude, Overload, SafeReturn, Timeout"
metadata,env_step_signature,observed,"self, action: np.ndarray"
metadata,env_reset_signature,observed,self
metadata,base_state_pack_line,observed,"state = np.hstack([self.task.get_obs(self, agent_id) for agent_id in self.agents.keys()])"
metadata,load_simulator_line,observed,"from ..core.simulatior import AircraftSimulator, BaseSimulator"
metadata,jsbsim_data_line,observed,"self.jsbsim_exec = jsbsim.FGFDMExec(os.path.join(get_root_dir(), 'data'))"
metadata,position_getter,observed,def get_position(self):
metadata,velocity_getter,observed,def get_velocity(self):
metadata,attitude_getter,observed,def get_rpy(self):
metadata,synthetic_graph_smoke_rows,observed,400
metadata,real_jsbsim_status,observed,blocked: envs/JSBSim/data submodule missing
