update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,0.7545375327269236,-0.00480340087475876,1.562514861424764,2.1916484236717224,0.024186203256249428,0.0,0.0,1.0,200.0,15.669061756134033
2,0.06880994110057752,-0.0037467440124601126,0.18871969729661942,2.18031636873881,-0.03753644600510597,,,,,
3,-0.015619195144002637,-0.005377194223304589,0.022453213188176353,2.1468607981999717,-0.01736171543598175,,,,,
4,-0.010579867210860053,-0.004141336772590876,0.029719672941913206,2.1298367778460183,-0.013685251586139202,,,,,
5,0.4645780548453331,-0.0010785838821902871,0.973712628086408,2.119967818260193,-0.002893016906455159,0.2,0.0,0.8,188.1,15.969769283135733
6,-0.015272995767494043,-0.00675593006114165,0.02489144230882327,2.096278806527456,-0.017053255811333656,,,,,
7,-0.005696150241419673,-0.0026201558260557554,0.03587013669312,2.101106286048889,-0.015584914945065975,,,,,
8,-0.0077012180505941314,-0.0017556790262460709,0.029712083283811808,2.0801581541697183,-0.01870819367468357,,,,,
9,-0.015589287659774223,-0.00643694237805903,0.02263501255462567,2.0469851891199746,-0.0185431856662035,,,,,
10,0.0048223269792894525,-0.0038763018480191627,0.057621529015402,2.0112136602401733,-0.013951465487480164,0.1,0.0,0.9,183.2,14.885250141223272
11,-0.0064494354495157795,-0.0014312873827293515,0.029871830406288307,1.9954063097635906,-0.022130412980914116,,,,,
12,-0.013295501858616868,-0.0038293561277290187,0.021387162152677774,2.01597265402476,-0.016470395028591156,,,,,
13,0.06480596261098981,-0.0017471742272997897,0.17338693421334028,2.0140331784884133,0.006801180075854063,,,,,
14,-0.013275629996011654,-0.0031528066222866378,0.020288544086118538,2.0267095367113748,-0.022931933403015137,,,,,
15,-0.012998562771826982,-0.0017042912853260834,0.018204213275263708,2.0396379033724465,-0.01886299066245556,0.0,0.2,0.8,188.0,18.005730628967285
16,-0.0007584746150920788,-0.003603921659911672,0.04716155678033829,2.0735331575075784,-0.01087085623294115,,,,,
17,-0.010503938732047876,-0.003596568829379976,0.02877127317090829,2.1293006936709085,-0.01862582191824913,,,,,
18,0.4181654329101245,-0.0027770439628511667,0.8845211515824,2.131810247898102,0.0008758027106523514,,,,,
19,-0.008615997930367788,-0.003631266998127103,0.0328616740492483,2.1415568192799888,-0.018903106451034546,,,,,
20,-0.00919653351108233,-0.0025649909706165395,0.029408291913568974,2.1335688630739846,-0.018198231235146523,0.0,0.2,0.8,190.5,12.340465386708576
21,-0.014336916307608286,-0.003383110432575146,0.020826638210564852,2.136712610721588,-0.01665383391082287,,,,,
22,-0.0080276137838761,-0.0014057096171503265,0.02948961080983281,2.13667098681132,-0.02130267210304737,,,,,
23,0.4461028352379799,-0.0022826422937214375,0.9396278311808904,2.142844339211782,0.001291740103624761,,,,,
24,-0.009939816935608784,-0.0025561132351867855,0.028165930261214573,2.146666944026947,-0.017538610845804214,,,,,
25,-0.001917401251072685,-0.0010255357095350821,0.04110335713873307,2.1443544824918113,-0.01566912606358528,0.0,1.0,0.0,86.4,11.833292595545451
26,8.679088205099106e-05,-0.002670510206371546,0.04821415959546963,2.13497785727183,-0.016567721962928772,,,,,
27,-0.007236961042508483,-0.002690350132373472,0.03301314435278376,2.105318327744802,-0.018707139417529106,,,,,
28,0.21316049496332803,-0.001684075454249978,0.4710748704771201,2.069286525249481,0.003129624994471669,,,,,
29,-0.006848705389226477,-0.0006109828439851602,0.02925922783712546,2.0867337187131247,-0.01672547496855259,,,,,
30,-0.008299078326672316,-0.002054703344280521,0.029136405792087317,2.081257939338684,-0.02535088360309601,0.0,0.4,0.6,161.2,15.508870633443198
