method,result_type,radius,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std
MAPPO,mean_std,4,0.690,0.212,0.240,0.135,0.073,0.083,85.40,30.28
MAPPO,mean_std,6,0.777,0.158,0.217,0.141,0.013,0.019,68.69,29.24
MAPPO,mean_std,8,0.800,0.167,0.180,0.151,0.023,0.021,62.21,24.59
MAPPO,mean_std,10,0.850,0.054,0.143,0.046,0.007,0.009,58.90,17.53
GAT-MAPPO,mean_std,4,0.840,0.037,0.127,0.012,0.040,0.042,70.21,14.32
GAT-MAPPO,mean_std,6,0.873,0.045,0.097,0.031,0.030,0.022,64.53,17.87
GAT-MAPPO,mean_std,8,0.777,0.052,0.183,0.040,0.043,0.048,67.52,15.51
GAT-MAPPO,mean_std,10,0.797,0.029,0.170,0.033,0.033,0.029,69.51,11.50
RI no-edge,mean_std,4,0.907,0.042,0.080,0.044,0.017,0.006,73.20,7.60
RI no-edge,mean_std,6,0.917,0.076,0.063,0.059,0.023,0.023,72.77,11.41
RI no-edge,mean_std,8,0.887,0.146,0.097,0.125,0.017,0.021,72.00,13.45
RI no-edge,mean_std,10,0.907,0.071,0.073,0.059,0.020,0.017,72.04,10.18
RI edge fixed-r8,mean_std,4,0.927,0.021,0.037,0.015,0.037,0.006,65.85,2.78
RI edge fixed-r8,mean_std,6,0.887,0.015,0.073,0.032,0.040,0.036,63.41,2.20
RI edge fixed-r8,mean_std,8,0.900,0.036,0.083,0.012,0.020,0.026,63.78,4.58
RI edge fixed-r8,mean_std,10,0.837,0.032,0.113,0.015,0.050,0.017,73.36,4.12
RI edge staged,mean_std,4,0.907,0.012,0.067,0.012,0.027,0.012,69.47,2.30
RI edge staged,mean_std,6,0.907,0.015,0.073,0.021,0.020,0.010,62.68,6.51
RI edge staged,mean_std,8,0.883,0.051,0.083,0.031,0.033,0.032,65.21,7.70
RI edge staged,mean_std,10,0.880,0.020,0.090,0.026,0.033,0.021,70.35,3.54
