method,batch,joint_actions,n,mean_ms,median_ms,p95_ms,p99_ms,sd_ms,joint_decisions_per_s
full_ea_rg,1,3,10000,12.049458109999943,10.675299999999055,19.129409999998607,30.434330000000788,4.738527506219334,82.99128399559245
full_ea_rg,8,24,10000,11.373403130000009,10.100650000012479,17.445000000014943,25.209962000002726,4.232799894637864,87.92443111088416
w_o_role_pair_gate,1,3,10000,9.77091656000028,9.097550000007004,13.488345000007484,15.093461999991305,1.7304742354851261,102.34454402095224
w_o_role_pair_gate,8,24,10000,10.566411979999819,9.728700000010804,15.134079999967296,18.825075000049196,2.785200286743466,94.63950505552947
mappo,1,3,10000,2.117613210000201,1.7440000000021882,3.9489450000360127,6.751034000008077,1.3426138902667222,472.22977042153275
mappo,8,24,10000,2.079113329999933,1.7210999999974774,3.6866200000673626,6.1228199999914095,1.6486461167401953,480.97426223515777
happo,1,3,10000,8.582865400000763,7.719850000000861,13.039584999989982,18.044639999973246,3.0329747014040853,116.5112061526575
happo,8,24,10000,7.895373099999904,7.0360500000106185,11.536570000032496,14.828602000055756,2.2592212027389746,126.65645908488
param_matched_single,1,3,10000,4.535884649999047,4.215400000077807,6.847114999959558,9.090934999967434,1.5589333015075155,220.4641601721971
param_matched_single,8,24,10000,3.898674950000156,3.576600000030794,5.354114999977355,6.70931600001154,0.7574756066307714,256.49740304714555
