kind,method,batch,peak_allocated_mb,peak_reserved_mb,wall_ms,samples,samples_per_s,update_loss
inference,full_ea_rg,1,10.072064,23.068672,,,,
inference,full_ea_rg,8,10.177024,23.068672,,,,
training,full_ea_rg,,71.94112,79.691776,4956.0189999999975,3072,619.8523451988383,0.3338727802038193
inference,w_o_role_pair_gate,1,18.591744,79.691776,,,,
inference,w_o_role_pair_gate,8,18.696704,50.331648,,,,
training,w_o_role_pair_gate,,66.185216,73.40032,4974.9118999999955,3072,617.4983721822294,0.33607092313468456
inference,mappo,1,18.164736,73.40032,,,,
inference,mappo,8,18.203136,54.525952,,,,
training,mappo,,20.895232,54.525952,3145.128199999931,3072,976.7487379369996,0.27985341381281614
inference,happo,1,18.55488,54.525952,,,,
inference,happo,8,18.610688,48.234496,,,,
training,happo,,24.61952,50.331648,4426.538300000061,3072,693.9960284540987,0.2678654887713492
inference,param_matched_single,1,18.448384,50.331648,,,,
inference,param_matched_single,8,18.530304,46.137344,,,,
training,param_matched_single,,38.027264,54.525952,3522.0957999999882,3072,872.2079620889388,0.13266214565373957
