update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.12990625947713852,-0.0015427209436893463,0.26948066304127377,3.2913518150647483,0.0,0.0,0.10421184450387955,0.0,0.0,1.0,260.0,43638.1015625,nan
2,0.4835888172189395,-0.0009258644034465154,0.9756120095650355,3.2913217345873513,0.0,0.0,0.19341427087783813,,,,,,
3,0.692077194650968,-0.000507610539595286,1.3917526801427205,3.291533946990967,0.0,0.0,0.23771993815898895,,,,,,
4,0.31945709387461346,-0.0005264095962047577,0.6465500990549723,3.291551729043325,0.0,0.0,0.17254875600337982,,,,,,
5,0.0268724262714386,-0.0005937007566293081,0.06151513755321503,3.291437347730001,0.0,0.0,-0.03444785624742508,,,,,,
6,0.1079570713142554,-0.0002188822254538536,0.22293485080202421,3.2914723555246987,0.0,0.0,-0.08856021612882614,,,,,,
7,0.1351566162581245,-0.00035451849301656085,0.2776050368944804,3.2913874983787537,0.0,0.0,-0.10400789976119995,,,,,,
8,0.08345036456982295,-0.0005027304093043009,0.1744890691091617,3.291440407435099,0.0,0.0,-0.08758581429719925,,,,,,
9,0.06800467520952225,-0.0004224156339963277,0.1434368770569563,3.291350563367208,0.0,0.0,-0.07007082551717758,,,,,,
10,0.11300708974401157,-0.0004438261191050212,0.2334847499926885,3.2914599974950156,0.0,0.0,-0.09226687997579575,0.0,0.0,1.0,260.0,43412.146484375,nan
11,0.1640489020695289,-0.00019215233623981476,0.33506494760513306,3.29141894976298,0.0,0.0,-0.11378717422485352,,,,,,
12,0.18647226567069689,-0.0003863774860898654,0.38029995063940686,3.2913326621055603,0.0,0.0,-0.12366142868995667,,,,,,
13,0.21021509543061256,-0.0003866969297329585,0.42778603235880536,3.2912296851476035,0.0,0.0,-0.1300300806760788,,,,,,
14,0.18794789910316467,-0.0002682216775914033,0.38301429400841397,3.2910298109054565,0.0,0.0,-0.12604409456253052,,,,,,
15,0.18604913105567297,-0.00037187694882353145,0.379423921306928,3.2909497022628784,0.0,0.0,-0.12457891553640366,,,,,,
16,0.14692767399052778,-0.0004838948758939902,0.30140480399131775,3.290834685166677,0.0,0.0,-0.11178404092788696,,,,,,
17,0.07424243912100792,-0.000573145846525828,0.15621336797873178,3.2910993496576944,0.0,0.0,0.056696634739637375,,,,,,
18,0.3121123993769288,-0.00035653822124004364,0.6315204029281934,3.2912654280662537,0.0,0.0,0.15463638305664062,,,,,,
19,0.44028836364547413,-0.00022844597697257996,0.8876166194677353,3.2914921243985495,0.0,0.0,0.1856825202703476,,,,,,
20,0.025431896559894085,-0.0006060595624148846,0.05865857812265555,3.2913319865862527,0.0,0.0,0.06060173735022545,0.0,0.0,1.0,260.0,36943.35546875,nan
