epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.67298284443942,0.11958119030124909,5444,1.0,1
2,2.141072538765994,0.3423952975753123,5444,1.0,1
3,1.9251359755342656,0.300330639235856,5444,1.0,1
4,1.8968331055207686,0.3213323536615234,5444,1.0,1
5,1.83304025368257,0.2966568699485672,5444,1.0,1
6,1.7768735018643467,0.3261694832231203,5444,1.0,1
7,1.727930334481326,0.3384153808474161,5444,1.0,1
8,1.6861746473745867,0.3371907910849865,5444,1.0,1
9,1.662695906379006,0.33590497183443546,5444,1.0,1
10,1.5758374441753735,0.36119275042860643,5444,1.0,1
11,1.4932259863073176,0.36051922605927017,5444,1.0,1
12,1.4001428322358564,0.36933627234876315,5444,1.0,1
13,1.3024253899400884,0.40791084986529513,5444,1.0,1
14,1.2949680360880764,0.3292921871173157,5444,1.0,1
15,1.2096322612328962,0.3163115356355621,5444,1.0,1
16,1.1622439053925602,0.40840068577026695,5444,1.0,1
17,1.1715016852725635,0.4286064168503551,5444,1.0,1
18,1.1082140369848772,0.4100538819495469,5444,1.0,1
19,1.1170160174369812,0.3647440607396522,5444,1.0,1
20,1.093641310930252,0.40111437668381095,5444,1.0,1
