update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.4641240239143372,-0.004220945585984737,2.938803732395172,1.0568623542785645,0.0,0.0,0.16841065883636475,0.0,0.0,1.0,260.0,14490.0126953125,nan
2,0.09034509211778641,-0.0032820317331545557,0.18956802785396576,1.156891107559204,0.0,0.0,-0.04482133314013481,,,,,,
3,0.039003525860607624,-0.003285323453990685,0.08776501938700676,1.5936601758003235,0.0,0.0,-0.03273923695087433,,,,,,
4,0.1460401564836502,-0.003743992381108896,0.3023129180073738,1.3723115026950836,0.0,0.0,0.02115313708782196,,,,,,
5,1.4975664019584656,-0.0004979283500379239,2.9982213377952576,1.0463903844356537,0.0,0.0,0.1667138934135437,0.0,0.0,1.0,260.0,37992.544921875,nan
6,0.10359567403793335,-0.0013123798659459562,0.21199418604373932,1.089038610458374,0.0,0.0,-0.04488625004887581,,,,,,
7,0.0485474793240428,-0.0014587089099222794,0.1030935738235712,1.540598064661026,0.0,0.0,-0.024495696648955345,,,,,,
8,0.02854285668581724,-0.0020265574761051397,0.06398954801261425,1.4253594279289246,0.0,0.0,-0.005071382038295269,,,,,,
9,1.5628727078437805,-0.0009885699691949412,3.1298752427101135,1.0763735175132751,0.0,0.0,0.16905808448791504,,,,,,
10,0.12144994363188744,-0.0016552463785046712,0.24845313280820847,1.121374487876892,0.0,0.0,-0.04382364824414253,0.5,0.0,0.5,152.5,21639.219482421875,nan
11,0.05509243439882994,-0.0015750137390568852,0.11622595600783825,1.4455293118953705,0.0,0.0,-0.035524021834135056,,,,,,
12,0.13723688945174217,-0.0030025295660989215,0.28328511863946915,1.403141736984253,0.0,0.0,0.01665283925831318,,,,,,
13,1.3885673582553864,0.0003277621338686476,2.7786710262298584,1.0959330797195435,0.0,0.0,0.16397351026535034,,,,,,
14,0.11846960335969925,-0.0009814934358765015,0.24124779924750328,1.1727995574474335,0.0,0.0,-0.04479286074638367,,,,,,
15,0.07479731179773808,-0.00045782516811687657,0.15341313183307648,1.4514295160770416,0.0,0.0,-0.046604204922914505,0.5,0.0,0.5,248.0,32552.0341796875,nan
16,0.04833301715552807,-0.0018990392951918622,0.10308974422514439,1.3128158450126648,0.0,0.0,-0.012640786357223988,,,,,,
17,1.7046063840389252,-0.0005597865383606404,3.412334680557251,1.0011428594589233,0.0,0.0,0.17091481387615204,,,,,,
18,0.10065755620598793,-0.0010097520983745056,0.20558340847492218,1.1243962943553925,0.0,0.0,-0.03172941878437996,,,,,,
19,0.026737069245427847,-0.0022511750867124647,0.06090349704027176,1.4635040760040283,0.0,0.0,-0.021463191136717796,,,,,,
20,0.1681683510541916,-0.0021364689940428505,0.34367332607507706,1.531842589378357,0.0,0.0,0.01838378608226776,0.5,0.5,0.0,53.5,4239.7991943359375,nan
