update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,1.4360668659210205,-0.004707830511809674,2.8836365342140198,1.0435446202754974,0.0,0.0,0.16928474605083466,0.0,0.0,1.0,260.0,24762.857421875,nan
2,0.16314582154154778,-0.0020703808598518947,0.33259162306785583,1.0796133875846863,0.0,0.0,-0.05965138599276543,,,,,,
3,0.062320541590452194,-0.0025258749374188483,0.13255049847066402,1.4288313686847687,0.0,0.0,-0.03926603123545647,,,,,,
4,0.06258372869342566,-0.0033331681333947927,0.13461316004395485,1.3896815776824951,0.0,0.0,-0.01902558095753193,,,,,,
5,1.1573906242847443,-0.00047294103812101085,2.3178414702415466,1.057188242673874,0.0,0.0,0.14632071554660797,0.0,0.0,1.0,260.0,40573.60546875,nan
6,0.36625050008296967,-0.0029063690065713743,0.7403499931097031,1.018129050731659,0.0,0.0,-0.016654828563332558,,,,,,
7,0.07209205999970436,-0.0012903567161011154,0.14952698349952698,1.381074696779251,0.0,0.0,-0.04392629861831665,,,,,,
8,0.05490027088671923,-0.0014683085755677894,0.11577084846794605,1.5168444514274597,0.0,0.0,-0.019131606444716454,,,,,,
9,0.8879038095474243,-0.0006963154276794503,1.7795089483261108,1.1543353497982025,0.0,0.0,0.11895670741796494,,,,,,
10,0.4460013881325722,-0.0010859134830147887,0.8961416482925415,0.9835298806428909,0.0,0.0,-0.004372287075966597,0.0,0.0,1.0,260.0,39762.841796875,nan
