method,seed,radius,success_rate,collision_rate,timeout_rate,avg_steps
EA-RG-MAPPO-S,0,4.0,0.9,0.08,0.02,68.97
EA-RG-MAPPO-S,1,4.0,0.92,0.06,0.02,71.97
EA-RG-MAPPO-S,2,4.0,0.9,0.06,0.04,67.46
EA-RG-MAPPO-S,0,6.0,0.91,0.08,0.01,56.0
EA-RG-MAPPO-S,1,6.0,0.89,0.09,0.02,69.01
EA-RG-MAPPO-S,2,6.0,0.92,0.05,0.03,63.04
EA-RG-MAPPO-S,0,8.0,0.87,0.11,0.02,59.71
EA-RG-MAPPO-S,1,8.0,0.94,0.05,0.01,61.91
EA-RG-MAPPO-S,2,8.0,0.84,0.09,0.07,74.01
EA-RG-MAPPO-S,0,10.0,0.86,0.1,0.05,68.19
EA-RG-MAPPO-S,1,10.0,0.88,0.11,0.01,68.42
EA-RG-MAPPO-S,2,10.0,0.9,0.06,0.04,74.43
GAT-MAPPO,0,4.0,0.85,0.14,0.01,82.88
GAT-MAPPO,1,4.0,0.88,0.13,0.01,50.19
GAT-MAPPO,2,4.0,0.79,0.11,0.1,77.55
GAT-MAPPO,0,6.0,0.82,0.14,0.04,87.79
GAT-MAPPO,1,6.0,0.93,0.07,0.0,44.33
GAT-MAPPO,2,6.0,0.87,0.08,0.05,61.46
GAT-MAPPO,0,8.0,0.74,0.24,0.02,85.35
GAT-MAPPO,1,8.0,0.85,0.16,0.0,47.54
GAT-MAPPO,2,8.0,0.74,0.15,0.11,69.67
GAT-MAPPO,0,10.0,0.76,0.21,0.03,80.18
GAT-MAPPO,1,10.0,0.83,0.17,0.0,53.55
GAT-MAPPO,2,10.0,0.8,0.13,0.07,74.81
MAPPO,0,4.0,0.39,0.43,0.19,124.5
MAPPO,1,4.0,0.84,0.16,0.0,50.74
MAPPO,2,4.0,0.84,0.13,0.03,80.95
MAPPO,0,6.0,0.56,0.41,0.04,107.44
MAPPO,1,6.0,0.93,0.08,0.0,36.83
MAPPO,2,6.0,0.84,0.16,0.0,61.8
MAPPO,0,8.0,0.57,0.39,0.05,92.96
MAPPO,1,8.0,0.96,0.04,0.0,32.77
MAPPO,2,8.0,0.87,0.11,0.02,60.91
MAPPO,0,10.0,0.79,0.19,0.02,79.38
MAPPO,1,10.0,0.92,0.08,0.0,36.56
MAPPO,2,10.0,0.84,0.16,0.0,60.76
