source,target,attention
uav0,uav0,0.31832289695739746
uav0,uav1,0.1877298504114151
uav0,uav2,0.18161159753799438
uav0,target,0.31233564019203186
uav1,uav0,0.21279920637607574
uav1,uav1,0.2571277916431427
uav1,uav2,0.21771053969860077
uav1,target,0.3123624622821808
uav2,uav0,0.1638944447040558
uav2,uav1,0.17408452928066254
uav2,uav2,0.3480682671070099
uav2,target,0.31395280361175537
target,uav0,0.2506767213344574
target,uav1,0.20274284482002258
target,uav2,0.27795273065567017
target,target,0.26862767338752747
