epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.877800941467285,0.19190360737638676,9074,1.0,1
2,2.3798785540792675,0.35427227977371245,9074,1.0,1
3,2.056665768225988,0.3439497465285431,9074,1.0,1
4,1.8961775733364954,0.3080596576298582,9074,1.0,1
5,1.8255709277258978,0.2950922048343252,9074,1.0,1
6,1.7904374765025244,0.2958269047094262,9074,1.0,1
7,1.7411364416281383,0.29498199985306,9074,1.0,1
8,1.7289500898785062,0.3130188817867901,9074,1.0,1
9,1.698704524172677,0.2918962603776357,9074,1.0,1
10,1.6805215345488653,0.2968922195283227,9074,1.0,1
11,1.703699744409985,0.2983616192785247,9074,1.0,1
12,1.6559457116656833,0.2881492910146205,9074,1.0,1
13,1.664732426404953,0.27767981779443096,9074,1.0,1
14,1.6233761873510149,0.3121005069429138,9074,1.0,1
15,1.5842517680592008,0.3578723091617074,9074,1.0,1
16,1.547736601697074,0.35041510542943205,9074,1.0,1
17,1.5475383732053969,0.38108882521489973,9074,1.0,1
18,1.4722291827201843,0.392807288222761,9074,1.0,1
19,1.4353832138909235,0.3641539930938212,9074,1.0,1
20,1.364603105518553,0.3986114172360591,9074,1.0,1
