epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.241000990072886,0.42010138858276397,9074,1.0,0
2,1.5630848341517978,0.493534641099111,9074,1.0,0
3,1.3462391131454043,0.5785761516420542,9074,1.0,0
4,1.2072800662782457,0.5985599882448019,9074,1.0,0
5,1.122495065132777,0.632392917493204,9074,1.0,0
6,1.0721917384200625,0.6298214679303504,9074,1.0,0
7,1.0351018028126822,0.6529645139960326,9074,1.0,0
8,0.9997165434890323,0.6626992873411212,9074,1.0,0
9,0.9553183366854986,0.6862464183381088,9074,1.0,0
10,0.8879177868366241,0.7193079127176548,9074,1.0,0
11,0.8178831305768755,0.7533979869223423,9074,1.0,0
12,0.7517542243003845,0.7620307104547792,9074,1.0,0
13,0.6977128750748105,0.7715818088310925,9074,1.0,0
14,0.6479562438196607,0.7888105209022115,9074,1.0,0
15,0.6035338160064485,0.801410623760194,9074,1.0,0
16,0.5685507787598504,0.8161046212622144,9074,1.0,0
17,0.5437055403987566,0.822239365219308,9074,1.0,0
18,0.5274452037281461,0.8253251046947322,9074,1.0,0
19,0.516060583293438,0.8263169495261186,9074,1.0,0
20,0.5020798080497317,0.8292924840202777,9074,1.0,0
21,0.4932103057702382,0.8312761736830505,9074,1.0,0
22,0.48397261732154423,0.8332231283520681,9074,1.0,0
23,0.4787314269277785,0.8337374182646389,9074,1.0,0
24,0.4717316867576705,0.833774153258394,9074,1.0,0
25,0.46580110490322113,0.8355374329586364,9074,1.0,0
26,0.4607590097520087,0.8362353978399824,9074,1.0,0
27,0.458117764029238,0.8375211226214092,9074,1.0,0
28,0.4495438312490781,0.8386966424215708,9074,1.0,0
29,0.44892822371588814,0.8389905223716112,9074,1.0,0
30,0.44483425550990635,0.8390639923591213,9074,1.0,0
31,0.4449521005153656,0.8387701124090808,9074,1.0,0
32,0.4401586138539844,0.839504812284182,9074,1.0,0
33,0.4415729178322686,0.838843582396591,9074,1.0,0
34,0.44178499860896003,0.8382558224965102,9074,1.0,0
35,0.43319140126307804,0.8419660568657703,9074,1.0,0
36,0.4340389362639851,0.8411946219969143,9074,1.0,0
37,0.43173742211527294,0.8407170670780986,9074,1.0,0
38,0.43279002689652973,0.8399088972154874,9074,1.0,0
39,0.4316605453689893,0.8406068620968334,9074,1.0,0
40,0.432869837515884,0.8400558371905077,9074,1.0,0
41,0.4298390704724524,0.839541547277937,9074,1.0,0
42,0.42671085480186677,0.8418191168907502,9074,1.0,0
43,0.4257892817258835,0.8414517669531996,9074,1.0,0
44,0.42244044111834633,0.843215046653442,9074,1.0,0
45,0.4243184443977144,0.8438028065535229,9074,1.0,0
46,0.41977768805291915,0.8436191315847477,9074,1.0,0
47,0.4190398380160332,0.8442068914848284,9074,1.0,0
48,0.42142988906966317,0.842517081772096,9074,1.0,0
49,0.4168989410003026,0.8452722063037249,9074,1.0,0
50,0.4156959338320626,0.844647711409889,9074,1.0,0
51,0.41701841685507035,0.8442068914848284,9074,1.0,0
52,0.4143509517113368,0.8451252663287048,9074,1.0,0
53,0.41578760163651574,0.8459334361913159,9074,1.0,0
54,0.4158409842186504,0.8435089266034824,9074,1.0,0
55,0.41259825643565917,0.8455293512600103,9074,1.0,0
56,0.4173672902915213,0.8430313716846668,9074,1.0,0
57,0.4136080625984404,0.8447946513849093,9074,1.0,0
58,0.4099481991595692,0.8450885313349497,9074,1.0,0
59,0.4088471324907409,0.8451987363162148,9074,1.0,0
60,0.40732278674840927,0.8472926309602528,9074,1.0,0
61,0.40683529277642566,0.8465946660789068,9074,1.0,0
62,0.4078871425655153,0.847513040922783,9074,1.0,0
63,0.40659452312522465,0.8479905958415987,9074,1.0,0
64,0.40690881345007157,0.8472926309602528,9074,1.0,0
65,0.4022666389743487,0.8476599808978033,9074,1.0,0
66,0.40771255393822986,0.8459334361913159,9074,1.0,0
67,0.40627221514781314,0.8471089559914775,9074,1.0,0
68,0.4000510391261842,0.8497906105355962,9074,1.0,0
69,0.3985528838303354,0.8492763206230255,9074,1.0,0
70,0.401021050910155,0.8492395856292705,9074,1.0,0
71,0.4028209149837494,0.8488722356917199,9074,1.0,0
72,0.4028378716773457,0.8472558959664976,9074,1.0,0
73,0.40126245551639134,0.8491293806480052,9074,1.0,0
74,0.4014010959201389,0.8477334508853134,9074,1.0,0
75,0.39699070817894405,0.8495334655793109,9074,1.0,0
76,0.39748698638545144,0.8509293953420027,9074,1.0,0
77,0.3971843636698193,0.8492028506355154,9074,1.0,0
78,0.39556822760237587,0.8499008155168614,9074,1.0,0
79,0.3967081689172321,0.8502681654544119,9074,1.0,0
80,0.39278582897451186,0.8519579751671442,9074,1.0,0
