epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.161519911554125,0.4607864755604557,9070,1.0,0
2,1.5514696902698941,0.4993017273061374,9070,1.0,0
3,1.3598688542842865,0.5869533259830945,9070,1.0,0
4,1.2685312694973416,0.5977949283351709,9070,1.0,0
5,1.1891018847624462,0.6128261668504227,9070,1.0,0
6,1.118140286869473,0.6368246968026461,9070,1.0,0
7,1.076995935704973,0.6649026093348034,9070,1.0,0
8,1.0302630878157086,0.7055861815509004,9070,1.0,0
9,0.9616545041402181,0.7240720323410511,9070,1.0,0
10,0.8581452568372091,0.7456817346563763,9070,1.0,0
11,0.7477753625975715,0.772657111356119,9070,1.0,0
12,0.6977696634001203,0.7820654171260566,9070,1.0,0
13,0.664458746711413,0.7895994119808893,9070,1.0,0
14,0.6445861988597446,0.7964351341418596,9070,1.0,0
15,0.6180561946498023,0.8042263873575891,9070,1.0,0
16,0.5998684134748247,0.806468210216832,9070,1.0,0
17,0.5803138845496707,0.8116133774347666,9070,1.0,0
18,0.5696977252761523,0.8092613009922822,9070,1.0,0
19,0.5594939548108313,0.8098860712973172,9070,1.0,0
20,0.5556013840768073,0.8088202866593164,9070,1.0,0
21,0.543053242067496,0.8115398750459389,9070,1.0,0
22,0.539865243766043,0.8112091142962147,9070,1.0,0
23,0.5292845923039649,0.8144799705990444,9070,1.0,0
24,0.5206755167908139,0.8158030135979419,9070,1.0,0
25,0.516217503282759,0.8185961043733921,9070,1.0,0
26,0.5012341348661317,0.8236310180080852,9070,1.0,0
27,0.5009564947750833,0.8244395442851893,9070,1.0,0
28,0.4931051242682669,0.825689084895259,9070,1.0,0
29,0.48783034996853936,0.8262403528114663,9070,1.0,0
30,0.491207807428307,0.8237780227857405,9070,1.0,0
31,0.4789814402659734,0.8276736493936053,9070,1.0,0
32,0.48027845472097397,0.8296582138919515,9070,1.0,0
33,0.4721100793944465,0.8327453142227123,9070,1.0,0
34,0.4638506836361355,0.8358691657478868,9070,1.0,0
35,0.4627317488193512,0.8360161705255421,9070,1.0,0
36,0.4610262057847447,0.8328555678059537,9070,1.0,0
37,0.4663930634657542,0.8331128261668505,9070,1.0,0
38,0.4702045859562026,0.8328555678059537,9070,1.0,0
39,0.45186281618144775,0.8370819551635428,9070,1.0,0
40,0.45534785754150814,0.8356119073869901,9070,1.0,0
41,0.44879071993960273,0.8378904814406468,9070,1.0,0
42,0.4499086836973826,0.8353546490260934,9070,1.0,0
43,0.44418007880449295,0.837449467107681,9070,1.0,0
44,0.4458424341347482,0.8366409408305769,9070,1.0,0
45,0.4391654547717836,0.8397647923557515,9070,1.0,0
46,0.43555452840195763,0.8385520029400956,9070,1.0,0
47,0.4355975596441163,0.8396545387725101,9070,1.0,0
48,0.43773170063893,0.8392502756339582,9070,1.0,0
49,0.43325860218869316,0.8403160602719588,9070,1.0,0
50,0.44696035236120224,0.8357589121646454,9070,1.0,0
51,0.44262339174747467,0.837853730246233,9070,1.0,0
52,0.4377933434314198,0.8384417493568541,9070,1.0,0
53,0.44608612689707017,0.8345828739434031,9070,1.0,0
54,0.4336957128511535,0.839470782800441,9070,1.0,0
55,0.42944414499733186,0.8404998162440279,9070,1.0,0
56,0.42001043260097504,0.8446894524072033,9070,1.0,0
57,0.4266463476750586,0.8414920984932011,9070,1.0,0
58,0.4237980875704024,0.8420801176038222,9070,1.0,0
59,0.42681648913356995,0.8410143329658214,9070,1.0,0
60,0.4231000228060616,0.8416391032708563,9070,1.0,0
61,0.4224332571029663,0.8410143329658214,9070,1.0,0
62,0.42462362845738727,0.8420801176038222,9070,1.0,0
63,0.419945337706142,0.8416391032708563,9070,1.0,0
64,0.41735809710290694,0.844138184490996,9070,1.0,0
65,0.42650927354892093,0.841712605659684,9070,1.0,0
66,0.41451458715730244,0.8439176773245131,9070,1.0,0
67,0.41771699405378765,0.8436971701580301,9070,1.0,0
68,0.42715785404046375,0.8395810363836824,9070,1.0,0
69,0.41019822160402936,0.845938993017273,9070,1.0,0
70,0.4156382696496116,0.8436236677692025,9070,1.0,0
71,0.41500309440824723,0.8440646821021683,9070,1.0,0
72,0.4088691886928346,0.8445791988239618,9070,1.0,0
73,0.4175857396589385,0.8438809261300992,9070,1.0,0
74,0.424432925052113,0.8430723998529952,9070,1.0,0
75,0.4136440058549245,0.8444321940463065,9070,1.0,0
76,0.41221484873029923,0.8456817346563763,9070,1.0,0
77,0.4039187224374877,0.8475192943770673,9070,1.0,0
78,0.4161154826482137,0.8452407203234105,9070,1.0,0
79,0.4052852897180451,0.8475560455714811,9070,1.0,0
80,0.4016107941667239,0.8496876148474826,9070,1.0,0
