update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.20877384208142757,-0.0038835577433928847,0.2989235855638981,1.5344254672527313,1.5707972049713135,0.21142578125,0.08843586593866348,0.75,0.25,0.0,77.05,3.99758576353391,0.34717715768981183
2,1.2446477860212326,-0.00365925719961524,2.3739956468343735,1.532379999756813,1.5326602160930634,0.4609375,0.09425174444913864,,,,,,
3,1.9542038440704346,-0.0011255203280597925,3.7862446308135986,1.5554144233465195,1.5552245825529099,0.40478515625,0.027708210051059723,,,,,,
4,0.4983266852796078,-0.001377298089209944,0.8780678883194923,1.5621770471334457,1.5258363336324692,0.404296875,0.1374366134405136,,,,,,
5,0.6127202548086643,-0.0014474076160695404,1.1065595522522926,1.5662969052791595,1.531016856431961,0.39892578125,0.10081895440816879,0.7,0.3,0.0,72.4,3.8076759219169625,0.31560773480662985
6,1.7683715969324112,4.2458336565687205e-05,3.413798004388809,1.5051930099725723,1.529641032218933,0.42333984375,0.003743973793461919,,,,,,
7,2.270574063062668,-0.0008094979857560247,4.4193867444992065,1.508131816983223,1.5354310423135757,0.39306640625,0.06281489878892899,,,,,,
8,0.517099142074585,-0.0008630038355477154,0.913340151309967,1.5145471096038818,1.528750717639923,0.42578125,0.1356246918439865,,,,,,
9,0.8311908766627312,-0.0013858531065125135,1.5472334623336792,1.4796287417411804,1.4751258790493011,0.42626953125,0.13527946174144745,,,,,,
10,0.3319367282092571,-0.002773823100142181,0.560333326458931,1.4547758102416992,1.3818329274654388,0.525390625,0.08324823528528214,0.9,0.05,0.05,67.35,3.2295475403467813,0.39198218262806234
11,0.5447818636894226,-0.00022588635329157114,0.986551396548748,1.5584450215101242,1.3463298827409744,0.5400390625,0.1253812164068222,,,,,,
12,0.9951662942767143,-0.0009922511235345155,1.8938105404376984,1.5041603296995163,1.2858971059322357,0.541015625,0.07238944619894028,,,,,,
13,1.3912459760904312,-0.0014251457760110497,2.6873626857995987,1.5321417152881622,1.2862235009670258,0.5400390625,0.09819040447473526,,,,,,
14,0.7346539571881294,-0.0014838777715340257,1.3720080181956291,1.502175211906433,1.303111657500267,0.51220703125,0.12233195453882217,,,,,,
15,1.7899450361728668,-0.0015267396811395884,3.4861543476581573,1.526500716805458,1.273192048072815,0.55419921875,0.12441444396972656,0.9,0.1,0.0,54.95,3.505048749844233,0.5641492265696088
16,0.9175468608736992,-0.0011419588699936867,1.7442715466022491,1.510628581047058,1.2331866770982742,0.54736328125,0.12649382650852203,,,,,,
17,0.5980197079479694,-0.001383032722515054,1.1147406697273254,1.5386066138744354,1.1483695209026337,0.62109375,0.1709394007921219,,,,,,
18,0.613735131919384,-0.0020267528016120195,1.1442304104566574,1.6002047210931778,1.1929748505353928,0.59423828125,0.1827377825975418,,,,,,
19,0.523826353251934,-0.002328505739569664,0.9673036262392998,1.6078089624643326,1.171622708439827,0.61328125,0.13269399106502533,,,,,,
20,1.3503245189785957,-0.0017506121657788754,2.6169285476207733,1.5249394178390503,1.1772051602602005,0.609375,0.1278797835111618,0.95,0.05,0.0,54.15,3.2316450258096063,0.58264081255771
21,1.769155815243721,-0.0026725738134700805,3.4544777274131775,1.5498465448617935,1.2017597705125809,0.591796875,0.13051140308380127,,,,,,
22,0.2983315344899893,-0.0011061429977416992,0.5270368009805679,1.5284970551729202,1.0240848883986473,0.65234375,0.16570718586444855,,,,,,
23,1.7307439297437668,-0.001475516299251467,3.377116411924362,1.497584879398346,1.1727420389652252,0.59375,0.045478805899620056,,,,,,
24,0.4727705046534538,-0.0005067591555416584,0.8590156212449074,1.4984162151813507,1.1750723719596863,0.5791015625,0.17525725066661835,,,,,,
25,0.9717008322477341,-0.0020248916898708558,1.860778421163559,1.5155839622020721,1.169846847653389,0.58984375,0.13729752600193024,0.9,0.1,0.0,69.25,3.2353388945261634,0.5862815884476534
26,1.6934763044118881,-0.002141288947314024,3.3100839257240295,1.5552014708518982,1.122553065419197,0.611328125,0.041898488998413086,,,,,,
27,0.3899398036301136,-0.0026347415696363896,0.6983325034379959,1.5623068511486053,1.1806271374225616,0.55078125,0.11950820684432983,,,,,,
28,0.3438519351184368,-0.002319538256415399,0.6051808372139931,1.5143986195325851,1.1745008677244186,0.560546875,0.1878541260957718,,,,,,
29,1.5544021874666214,-0.001598567352630198,3.027696132659912,1.551134616136551,1.1532802879810333,0.5703125,0.12243959307670593,,,,,,
30,0.5077094584703445,-0.0017186040058732033,0.9381000399589539,1.4710863828659058,1.101778283715248,0.607421875,0.21380949020385742,0.85,0.1,0.05,74.05,3.5685296128193533,0.5705604321404456
