episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
0,140000,1.0,1.0,0.0,0.0,63.0,0.16452200143110185,0.24568525109535608,0.06646825396825397,0.7500000009461055,0.75,0.2896825396825397,0.04914904031015578,0.06933264147776824,0.022817460317460316,0.7500000009461055,0.7500000015283242,0.35615079365079366,0.3333333333333333,1.0,0.6984126984126984
1,140001,1.0,1.0,0.0,0.0,70.0,0.10593962350061961,0.14408388377531714,0.04285714285714286,0.7499999982970101,0.75,0.2767857142857143,0.04730320338691984,0.057724808221277984,0.020535714285714286,0.75,0.75,0.3196428571428571,0.2857142857142857,1.0,0.6857142857142857
2,140002,1.0,1.0,0.0,0.0,68.0,0.1726077667930547,0.2525147473947568,0.06985294117647059,0.7500000017530778,0.75,0.29503676470588236,0.056766687180189526,0.0758038591593504,0.02665441176470588,0.7499999989043263,0.75,0.3648897058823529,0.38235294117647056,1.0,0.7058823529411765
3,140003,1.0,1.0,0.0,0.0,64.0,0.1816585399210453,0.2710074964910746,0.0732421875,0.7500000009313226,0.75,0.3017578125,0.06341144035104662,0.08421876598149539,0.03125,0.7480889111757278,0.7469422578811645,0.375,0.421875,1.0,0.703125
4,140004,0.0,0.0,0.0,1.0,260.0,0.08636605150664822,0.08563027456402779,0.035096153846153846,0.7500000006877459,0.75,0.22451923076923078,0.0306503717142802,0.09299256149679422,0.014182692307692308,0.75,0.75,0.25961538461538464,0.21923076923076923,1.0,0.36923076923076925
5,140005,0.0,0.0,0.0,1.0,260.0,0.1260613691348296,0.1202624248340726,0.05096153846153846,0.7500000001146243,0.7500000005587936,0.2567307692307692,0.05882074918884497,0.06777160353958607,0.028365384615384615,0.7465992610615033,0.7452297955751419,0.3076923076923077,0.43846153846153846,1.0,0.7615384615384615
6,140006,1.0,1.0,0.0,0.0,57.0,0.15491963792265506,0.2533553626501199,0.0625,0.7500000010456955,0.75,0.2905701754385965,0.04540583831176423,0.06643060436754515,0.020833333333333332,0.7500000020913911,0.7500000036124027,0.3530701754385965,0.3157894736842105,1.0,0.631578947368421
7,140007,1.0,1.0,0.0,0.0,62.0,0.15966312803568378,0.24397953482050644,0.06451612903225806,0.7499999990386348,0.75,0.28830645161290325,0.038612777066807595,0.052549309048213456,0.018145161290322582,0.75,0.75,0.3528225806451613,0.2903225806451613,1.0,0.6774193548387096
8,140008,1.0,1.0,0.0,0.0,56.0,0.10774472967854568,0.1738539175130427,0.04352678571428571,0.7500000010643687,0.75,0.27566964285714285,0.02755410543509892,0.03598185395821929,0.012276785714285714,0.7499999997339079,0.7499999995343387,0.31919642857142855,0.16071428571428573,1.0,0.625
9,140009,1.0,1.0,0.0,0.0,60.0,0.1577037788927555,0.245356734842062,0.06354166666666666,0.750000000745058,0.7499999995860789,0.29375,0.05339033454656601,0.07446317043569353,0.025,0.7500000002483527,0.7500000012417635,0.3572916666666667,0.36666666666666664,1.0,0.6666666666666666
10,140010,1.0,1.0,0.0,0.0,57.0,0.16586015308112428,0.2626108391718431,0.0668859649122807,0.75,0.75,0.30153508771929827,0.06562195966641109,0.08965134011073546,0.03179824561403509,0.7499999992157284,0.7499999990968993,0.3684210526315789,0.43859649122807015,1.0,0.6666666666666666
11,140011,0.0,0.0,0.0,1.0,260.0,0.016267976737939394,0.0332101995125413,0.006490384615384616,0.7500000001719365,0.75,0.2764423076923077,0.060870768101169516,0.07518111979588867,0.03173076923076923,0.7499999997707514,0.75,0.2829326923076923,0.49230769230769234,1.0,0.10384615384615385
12,140012,1.0,1.0,0.0,0.0,66.0,0.10769295353781093,0.15047389659143628,0.043560606060606064,0.75,0.75,0.2859848484848485,0.04743542544769518,0.05914061019817988,0.020833333333333332,0.7500000015804262,0.7500000014191582,0.32954545454545453,0.30303030303030304,1.0,0.696969696969697
13,140013,0.0,0.0,0.0,1.0,260.0,0.116339308151958,0.03508750237524509,0.046634615384615385,0.75,0.75,0.27379807692307695,0.07204950371613869,0.08217624472454191,0.03581730769230769,0.7500000008023702,0.7500000020489097,0.32043269230769234,0.573076923076923,1.0,0.573076923076923
14,140014,1.0,1.0,0.0,0.0,60.0,0.16788866346081097,0.25801125334368813,0.06770833333333333,0.7499999990065892,0.75,0.2947916666666667,0.0641402717679739,0.09274724229342407,0.030208333333333334,0.75,0.75,0.3625,0.4666666666666667,1.0,0.6833333333333333
15,140015,1.0,1.0,0.0,0.0,56.0,0.1134218480437994,0.18380537861958146,0.04575892857142857,0.7500000005321843,0.75,0.30691964285714285,0.06133455237639802,0.09505546628497541,0.027901785714285716,0.7500000002660921,0.7499999986030161,0.35267857142857145,0.4107142857142857,1.0,0.625
16,140016,0.0,0.0,0.0,1.0,260.0,0.0828252446766083,0.135804408416152,0.03365384615384615,0.7500000002292486,0.75,0.259375,0.05588725083149396,0.07723980192095041,0.025961538461538463,0.7500000008596823,0.7500000014901161,0.29302884615384617,0.4076923076923077,1.0,0.4
17,140017,1.0,1.0,0.0,0.0,53.0,0.14952352396739335,0.2514978586808426,0.060141509433962265,0.749999999718846,0.7499999994861668,0.31014150943396224,0.0704047682712663,0.10176309069682812,0.0330188679245283,0.749999999437692,0.7499999994861668,0.37028301886792453,0.4528301886792453,1.0,0.6226415094339622
18,140018,1.0,1.0,0.0,0.0,64.0,0.11598867876455188,0.16983472518622875,0.046875,0.7500000009313226,0.75,0.302734375,0.06933879643702341,0.09458767101168633,0.03125,0.7500000027939677,0.7500000029802323,0.349609375,0.453125,1.0,0.6875
19,140019,1.0,1.0,0.0,0.0,57.0,0.11671224785478491,0.18735052103346045,0.047149122807017545,0.75,0.75,0.29605263157894735,0.047567063779161686,0.07817568517092502,0.020833333333333332,0.75,0.75,0.3432017543859649,0.3157894736842105,1.0,0.631578947368421
