layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer1,perception,0,scout,0,scout,0.5043094158172607,0.004229364916682243,0.49692708253860474,0.5206226706504822,0.004309415817260742
layer1,perception,0,scout,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,4,target,0.5025664567947388,0.0025359755381941795,0.49777844548225403,0.5089762806892395,0.0025664567947387695
layer1,perception,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,1,relay,0.5002139210700989,0.0025719187688082457,0.4938102066516876,0.5048022866249084,0.00021392107009887695
layer1,perception,1,relay,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,4,target,0.5002973079681396,0.0005386816919781268,0.4993073344230652,0.5015039443969727,0.00029730796813964844
layer1,perception,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,2,attacker,0.5008353590965271,0.0027492314111441374,0.49560827016830444,0.5078587532043457,0.0008353590965270996
layer1,perception,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,4,target,0.5007146000862122,0.0008706104126758873,0.4992828071117401,0.5036428570747375,0.0007146000862121582
layer1,perception,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,4,target,0.5004158020019531,0.000599720748141408,0.49955883622169495,0.5020447969436646,0.000415802001953125
layer1,communication,0,scout,0,scout,0.4999316930770874,0.0016718088882043958,0.4964688718318939,0.5042981505393982,6.830692291259766e-05
layer1,communication,0,scout,1,relay,0.49974650144577026,0.0009584010695107281,0.4961090683937073,0.5015518069267273,0.00025349855422973633
layer1,communication,0,scout,2,attacker,0.4983668923377991,0.002083349274471402,0.4921814203262329,0.5010371208190918,0.0016331076622009277
layer1,communication,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,1,relay,0,scout,0.4995267391204834,0.0005508171743713319,0.49827539920806885,0.5009289383888245,0.00047326087951660156
layer1,communication,1,relay,1,relay,0.501283586025238,0.0023280433379113674,0.49581438302993774,0.5080535411834717,0.0012835860252380371
layer1,communication,1,relay,2,attacker,0.5005564093589783,0.0009016955737024546,0.4985828101634979,0.5042201280593872,0.0005564093589782715
layer1,communication,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,0,scout,0.5004650354385376,0.001305260811932385,0.49662333726882935,0.5057001113891602,0.00046503543853759766
layer1,communication,2,attacker,1,relay,0.49997931718826294,0.0007319182623177767,0.4988498389720917,0.5026902556419373,2.0682811737060547e-05
layer1,communication,2,attacker,2,attacker,0.5000594854354858,0.0022464515641331673,0.4961675703525543,0.5052554607391357,5.9485435485839844e-05
layer1,communication,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,4,target,0.4999184012413025,0.0006079184240661561,0.497997522354126,0.5008981227874756,8.159875869750977e-05
layer1,task_support,0,scout,0,scout,0.5010448694229126,0.0030868309549987316,0.4966149926185608,0.5132256746292114,0.0010448694229125977
layer1,task_support,0,scout,1,relay,0.4995584785938263,0.0009465980110689998,0.4977412223815918,0.5022823214530945,0.00044152140617370605
layer1,task_support,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,task_support,1,relay,1,relay,0.5016171932220459,0.0020732847042381763,0.49718526005744934,0.5061976909637451,0.0016171932220458984
layer1,task_support,1,relay,2,attacker,0.5000213384628296,3.572584319044836e-05,0.4999598264694214,0.5001089572906494,2.1338462829589844e-05
layer1,task_support,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,2,attacker,0,scout,0.5004642009735107,0.001050745602697134,0.49739065766334534,0.5038973093032837,0.0004642009735107422
layer1,task_support,2,attacker,1,relay,0.49999406933784485,0.0004513095482252538,0.4987797737121582,0.5014258027076721,5.930662155151367e-06
layer1,task_support,2,attacker,2,attacker,0.5006396770477295,0.002363640582188964,0.4945945143699646,0.507358729839325,0.0006396770477294922
layer1,task_support,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,4,target,4,target,0.49998289346694946,0.0007062792428769171,0.4981776475906372,0.5017477869987488,1.710653305053711e-05
layer2,perception,0,scout,0,scout,0.5043063163757324,0.004288422409445047,0.4979984164237976,0.5152156949043274,0.004306316375732422
layer2,perception,0,scout,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
