episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
0,140000,0.0,0.0,0.0,1.0,260.0,0.027882343616623145,0.08270697332918645,0.018028846153846152,0.7500000004011851,0.750000000745058,0.3449519230769231,0.002771865071178423,0.0033203065730049277,0.031009615384615385,0.749413168659577,0.7480927975848317,0.3629807692307692,0.3346153846153846,1.0,0.16153846153846155
1,140001,0.0,0.0,0.0,1.0,260.0,0.025591877822170005,0.07423190205374397,0.01875,0.75,0.750000000745058,0.3235576923076923,0.002588747773328438,0.00258660440085805,0.02980769230769231,0.7488545377667134,0.746277248673141,0.3423076923076923,0.3153846153846154,1.0,0.17307692307692307
2,140002,0.0,0.0,0.0,1.0,260.0,0.02985078259729422,0.08908816054463387,0.018028846153846152,0.7500000011462432,0.7500000014901161,0.33389423076923075,0.0025828794153102746,0.0032120121104526334,0.028365384615384615,0.7493786586018709,0.7479806404560805,0.35192307692307695,0.3153846153846154,1.0,0.16153846153846155
3,140003,0.0,0.0,0.0,1.0,260.0,0.025462959248286027,0.07380169266834855,0.018990384615384614,0.7500000001146243,0.750000000745058,0.34423076923076923,0.0027721224408379457,0.0031299787307943914,0.03341346153846154,0.7500000009743067,0.7500000005587936,0.36322115384615383,0.35384615384615387,1.0,0.17307692307692307
4,140004,0.0,0.0,0.0,1.0,260.0,0.02573175120812196,0.0746406365185976,0.016346153846153847,0.7500000001719365,0.75,0.34375,0.002579352808578943,0.0031334826060628986,0.027884615384615386,0.7500000002292486,0.7499999998137354,0.36009615384615384,0.29615384615384616,1.0,0.15384615384615385
5,140005,0.0,0.0,0.0,1.0,260.0,0.02739696419582917,0.0800198771059513,0.017548076923076923,0.7499999997134392,0.7500000005587936,0.3473557692307692,0.002686640500682048,0.00308609170751879,0.031009615384615385,0.7499999998280635,0.749999999254942,0.36490384615384613,0.3230769230769231,1.0,0.16153846153846155
6,140006,1.0,1.0,0.0,0.0,44.0,0.11044251986525276,0.2159098617732525,0.07244318181818182,0.75,0.75,0.27698863636363635,0.0010354317214064808,6.768363527953625e-05,0.01278409090909091,0.7462409626353871,0.7417301177978516,0.3494318181818182,0.1590909090909091,1.0,0.5909090909090909
7,140007,1.0,1.0,0.0,0.0,46.0,0.12051362042193828,0.22343355959111993,0.07880434782608696,0.75,0.75,0.28532608695652173,0.0012862513515004969,0.0006775858240540732,0.017663043478260868,0.7499999996760617,0.7499999993226745,0.3641304347826087,0.21739130434782608,1.0,0.6304347826086957
8,140008,1.0,1.0,0.0,0.0,44.0,0.09105388515374878,0.17343333289027213,0.07386363636363637,0.75,0.75,0.28125,0.0011380037877560508,0.0003797940240474418,0.014204545454545454,0.7499999996613372,0.75,0.35511363636363635,0.18181818181818182,1.0,0.5909090909090909
9,140009,1.0,1.0,0.0,0.0,45.0,0.109429765244325,0.20442819063152587,0.07777777777777778,0.75,0.75,0.2791666666666667,0.001121135614812374,0.0003317510930909997,0.011111111111111112,0.75,0.75,0.35694444444444445,0.1111111111111111,1.0,0.6222222222222222
